Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Publisher,Volume,Issue,Pages,Issue date,Publication year,Language,ISSN,E-ISSN,DOI,Article number,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Database,Copyright,Data Provider
"Preparation and characterization of underwater superoleophobic chitosan/poly(vinyl alcohol) coatings for self-cleaning and oil/water separation","20171403537723","Wang, Qian (1); Fu, Youjia (1); Yan, Xiaoxia (1); Chang, Yanjiao (1); Ren, Lili (1); Zhou, Jiang (1) ","(1) Key Laboratory of Bionic Engineering (Ministry of Education), College of Biological and Agricultural Engineering, Jilin University, Changchun; 130022, China ","Zhou, Jiang ","Applied Surface Science","Appl Surf Sci","Elsevier B.V.","412","","10-18","August 1, 2017","2017","English","01694332","","10.1016/j.apsusc.2017.03.216","","ASUSEE","Journal article (JA)","In this paper, chitosan (CS)/poly(vinyl alcohol) (PVA) coatings cross-linked with glutaraldehyde (GA) were prepared. Effects of the coating composition and NaOH solution treatment on surface morphology and topography were investigated by scanning electron microscope and atomic force microscope. It was found that the process of immersing the CS/PVA coatings into NaOH solution was crucial to enhance rough structure on the coating surface. The rough surface structure and the hydrophilic groups of CS and PVA made the CS/PVA coatings possess underwater superoleophobicity and low adhesion to oil. Oil contact angle of the prepared CS/PVA coatings was up to 161° and slide angle was only 3°. Moreover, the CS/PVA coatings showed stable superoleophobicity in high salt, strong acidic, and alkaline environments as well as underwater self-cleaning property and excellent transparency. The CS/PVA coatings could be used for gravity driven oil/water separation with high efficiency. © 2017 Elsevier B.V.","41","Coatings","Atomic force microscopy - Chitin - Chitosan - Cleaning - Polyvinyl alcohols - Protective coatings - Scanning electron microscopy - Separation - Surface treatment","Alkaline environment - Coating compositions - Hydrophilic groups - Oil/water separation - Self cleaning - Self-cleaning properties - Superoleophobicity - Water separation","741.3 Optical Devices and SystemsOptical Devices and Systems - 802.3 Chemical OperationsChemical Operations - 804.1 Organic CompoundsOrganic Compounds - 813.2 Coating MaterialsCoating Materials - 815.1.1 Organic PolymersOrganic Polymers","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Surfactin-loaded polyvinyl alcohol (PVA) nanofibers alters adhesion of Listeria monocytogenes to polystyrene","20171403515374","Ahire, J.J. (1); Robertson, D.D. (2); van Reenen, A.J. (2); Dicks, L.M.T. (1) ","(1) Department of Microbiology, University of Stellenbosch, Matieland, Stellenbosch; 7602, South Africa (2) Department of Chemistry and Polymer Science, University of Stellenbosch, Matieland, Stellenbosch; 7602, South Africa ","Ahire, J.J.(jjahire@gmail.com) ","Materials Science and Engineering C","Mater. Sci. Eng. C","Elsevier Ltd","77","","27-33","August 1, 2017","2017","English","09284931","","10.1016/j.msec.2017.03.248","","","Journal article (JA)","Surfactin-loaded polyvinyl alcohol (PVA) nanofibers were spun using gravity electrospinning. Scanning electron microscopy (SEM) images showed that nanofibers spun with surfactin are free from bead formation and uniform in diameter. The average nanofiber diameters were decreased (273 ± 39 nm, 259 ± 39 nm and 217 ± 33 nm) with increasing levels of surfactin (0.5, 1.0 and 1.5%, w/v) into PVA (10%, w/v). The 10% (w/v) PVA had average fiber diameter of 303 ± 33 nm. Atomic force microscopy (AFM) analysis showed that fibers spun with surfactin are not smooth as PVA fibers. The surface average roughness (Sa) estimated for surfactin loaded nanofibers (0.5%: 19.0 nm, 1.0%: 20.4 nm and 1.5%: 20.7 nm) was higher as compared with PVA (10%:15.8 nm). Scanning transmission electron microscopy (STEM) showed no matrix differences between PVA and surfactin-loaded PVA nanofibers. Fourier transform infrared (FTIR) microscopy revealed uniform distribution of surfactin in PVA. Based on differential scanning calorimetry (DSC) analyses, surfactin decreased the crystallinity of PVA during spinning. No antimicrobial activity was detected against methicillin-resistant Staphylococcus aureus (MRSA) strain Xen 30, Listeria monocytogenes EDGe, Escherichia coli Xen 14, and Pseudomonas aeruginosa PA01. However, the adhesion of L. monocytogenes to polystyrene in presence of surfactin-loaded nanofibers decreased significantly (OD595: 0.012 ± 0.001) as compared with control (OD595: 0.022 ± 0.002), suggesting that these nanofibers may be used in wound dressings or in the coating of prosthetic devices to prevent biofilm formation and secondary infections. © 2017 Elsevier B.V.","43","Nanofibers","Adhesion - Atomic force microscopy - Bacteria - Biofilms - Biomaterials - Differential scanning calorimetry - Diseases - Electron microscopy - Electrospinning - Escherichia coli - Fourier transform infrared spectroscopy - High resolution transmission electron microscopy - Listeria - Polystyrenes - Polyvinyl alcohols - Scanning electron microscopy - Spinning (fibers) - Transmission electron microscopy","Fourier transform infrared microscopies - Methicillin-resistant staphylococcus aureus - Monocytogenes - Poly (vinyl alcohol) (PVA) - Scanning electron microscopy image - Scanning transmission electron microscopy - Surface average roughness - Surfactin","461.9 BiologyBiology - 462.5 Biomaterials (including synthetics)Biomaterials (including synthetics) - 741.3 Optical Devices and SystemsOptical Devices and Systems - 761 NanotechnologyNanotechnology - 801 ChemistryChemistry - 815.1.1 Organic PolymersOrganic Polymers - 819.3 Fiber Chemistry and ProcessingFiber Chemistry and Processing - 933 Solid State PhysicsSolid State Physics - 944.6 Temperature MeasurementsTemperature Measurements - 951 Materials ScienceMaterials Science","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Enzymic degradation of hydroxyethyl cellulose and analysis of the substitution pattern along the polysaccharide chain","20171503568891","Diao, Yongfu (1); Song, Mingwei (2); Zhang, Yulin (1); Shi, Lin-ying (1); Lv, Yusan (3); Ran, Rong (1) ","(1) College of Polymer Science and Engineering, China (2) College of Arts Sichuan University, China (3) Luzhou North cellulose company, Chengdu; 610065, China ","Ran, Rong(ranrong@scu.edu.cn) ","Carbohydrate Polymers","Carbohydr Polym","Elsevier Ltd","169","","92-100","August 1, 2017","2017","English","01448617","","10.1016/j.carbpol.2017.02.089","","CAPOD8","Journal article (JA)","The enzymatic degradation behavior of hydroxyethyl cellulose (HEC) samples with different molar substitutions (MS) values was investigated. The changes in the molecular structure of HEC treated with enzymatic approach in comparison to the native HEC were studied through nuclear magnetic resonance (NMR), fourier transform infrared spectra (FTIR), X-ray diffraction (XRD) and scanning electron microscopy (SEM) techniques and kinetics of degradation was studied by viscometry. The cleavage of HEC chains could be observed from FTIR and kinetics results. Moreover, reduce in molecular weight (Mw) of polymer and liberated glucose concentration was investigated by gel permeation chromatography (GPC) analysis during enzymatic degradation. And all these results indicated that HEC with lower MS is more susceptible to degrade and provided a better understanding of the mechanism operating during enzymatic hydrolysis of HEC by cellulases. Furthermore, by complete degradation and quantification of liberated glucose, the substitution index (SI) and the distribution of substituents along the HEC chain were investigated. The results suggested that the HEC samples differed in hydroxyethyl molar substitutions (MS) and possible distribution of the hydroxyethyl groups. Impressively, our efforts established a facile analytical method for the elucidation of the distribution of substituents along the HEC chain. © 2017 Elsevier Ltd","51","Photodegradation","Cellulose - Chains - Degradation - Enzymatic hydrolysis - Fourier transform infrared spectroscopy - Gel permeation chromatography - Glucose - Nuclear magnetic resonance - Scanning electron microscopy - X ray diffraction","Fourier transform infrared spectra - Gel permeation chromatography (GPC) - Glucose concentration - Hydroxyethyl cellulose - Hydroxyethyl celluloses (HEC) - Kinetics of degradation - Nuclear magnetic resonance(NMR) - Substitution patterns","602.1 Mechanical DrivesMechanical Drives - 801 ChemistryChemistry - 802.2 Chemical ReactionsChemical Reactions - 802.3 Chemical OperationsChemical Operations - 804.1 Organic CompoundsOrganic Compounds - 811.3 Cellulose, Lignin and DerivativesCellulose, Lignin and Derivatives","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Structural, chemical and optical properties of SnO2NPs obtained by three different synthesis routes","20171503556940","Drzymala, Elbieta (1); Gruzel, Grzegorz (1); Depciuch, Joanna (1); Budziak, Andrzej (1); Kowal, Andrzej (1, 2); Parlinska-Wojtan, Magdalena (1) ","(1) Institute of Nuclear Physics Polish Academy of Sciences, Krakow; PL-31342, Poland (2) Centre for Synthesis and Characterization of Nanomaterials, University of East Sarajevo, Faculty of Technology, Zvornik, Bosnia and Herzegovina ","Parlinska-Wojtan, Magdalena(magdalena.parlinska@ifj.edu.pl) ","Journal of Physics and Chemistry of Solids","J Phys Chem Solids","Elsevier Ltd","107","","100-107","August 1, 2017","2017","English","00223697","","10.1016/j.jpcs.2017.03.026","","JPCSAW","Journal article (JA)","Polyol (P), chemical precipitation (C) and microwave-assisted (M) syntheses were chosen to produce SnO2nanoparticles with uniform size and minimum agglomeration. Their structural, chemical and optical properties were investigated using dynamic light scattering (DLS), scanning transmission electron microscopy (STEM), Raman, Fourier Transform Infrared (FTIR) using the Attenuated Total Reflectance (ATR) technique and Ultraviolet–Visible (UV–Vis) spectroscopies. STEM observations showed that the SnO2(P) and SnO2(C) nanoparticles (NPs) are combined into larger agglomerates with heterogeneous thickness, while the microwave-assisted NPs form a uniform thin layer across the TEM grid. The strongest agglomeration of the SnO2(C) NPs, observed by DLS, STEM and UV–Vis is explained by the very moderate amount of water present on the surface of the NPs identified by FTIR spectroscopy. High resolution STEM combined with SAED and X-ray diffraction (XRD) patterns confirmed the crystalline character of the NPs. In the nanoparticles from polyol synthesis, chlorine from the remains of metal precursors during reduction was detected by energy dispersive spectroscopy (EDS), contrary to the NPs obtained by the chemical precipitation and microwave-assisted methods. All three syntheses routes lead to small, 2–10 nm SnO2NPs, which were the result of the low concentration of Cl ions in the solutions. © 2017 Elsevier Ltd","49","Precipitation (chemical)","Agglomeration - Alcohols - Dynamic light scattering - Energy dispersive spectroscopy - Fourier transform infrared spectroscopy - High resolution transmission electron microscopy - Light scattering - Metal nanoparticles - Nanoparticles - Optical properties - Scanning electron microscopy - Spectroscopy - Synthesis (chemical) - Transmission electron microscopy - X ray diffraction","Attenuated total reflectance - Chemical precipitation - Energy dispersive spectroscopies (EDS) - Fourier transform infrared - Microwave-assisted methods - Scanning transmission electron microscopy - Structural characterization - Synthesis method","741.1 Light/OpticsLight/Optics - 741.3 Optical Devices and SystemsOptical Devices and Systems - 761 NanotechnologyNanotechnology - 801 ChemistryChemistry - 802.2 Chemical ReactionsChemical Reactions - 802.3 Chemical OperationsChemical Operations - 804.1 Organic CompoundsOrganic Compounds","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Solidification of floating organic droplet in dispersive liquid-liquid microextraction as a green analytical tool","20171403528118","Mansour, Fotouh R. (1); Danielson, Neil D. (2) ","(1) Department of Pharmaceutical Analytical Chemistry, Faculty of Pharmacy, Tanta University, El-Geish Street, the Medical Campus, Tanta; 31111, Egypt (2) Department of Chemistry and Biochemistry, Miami University, Oxford; OH; 45056, United States ","Mansour, Fotouh R. ","Talanta","Talanta","Elsevier B.V.","170","","22-35","August 1, 2017","2017","English","00399140","","10.1016/j.talanta.2017.03.084","","TLNTA2","Journal article (JA)","Dispersive liquid-liquid microextraction (DLLME) is a special type of microextraction in which a mixture of two solvents (an extracting solvent and a disperser) is injected into the sample. The extraction solvent is then dispersed as fine droplets in the cloudy sample through manual or mechanical agitation. Hence, the sample is centrifuged to break the formed emulsion and the extracting solvent is manually separated. The organic solvents commonly used in DLLME are halogenated hydrocarbons that are highly toxic. These solvents are heavier than water, so they sink to the bottom of the centrifugation tube which makes the separation step difficult. By using solvents of low density, the organic extractant floats on the sample surface. If the selected solvent such as undecanol has a freezing point in the range 10–25 °C, the floating droplet can be solidified using a simple ice-bath, and then transferred out of the sample matrix; this step is known as solidification of floating organic droplet (SFOD). Coupling DLLME to SFOD combines the advantages of both approaches together. The DLLME-SFOD process is controlled by the same variables of conventional liquid-liquid extraction. The organic solvents used as extractants in DLLME-SFOD must be immiscible with water, of lower density, low volatility, high partition coefficient and low melting and freezing points. The extraction efficiency of DLLME-SFOD is affected by types and volumes of organic extractant and disperser, salt addition, pH, temperature, stirring rate and extraction time. This review discusses the principle, optimization variables, advantages and disadvantages and some selected applications of DLLME-SFOD in water, food and biomedical analysis. © 2017 Elsevier B.V.","144","Extraction","Drops - Emulsification - Freezing - Liquids - Organic solvents - Solidification - Solvent extraction - Solvents","Dispersive liquid liquid microextraction(DLLME) - Dispersive liquid-liquid microextraction - Extraction efficiencies - Halogenated hydrocarbons - Liquid-liquid extraction - Microextraction - Optimization variables - Solidification of floating organic droplets","802.3 Chemical OperationsChemical Operations - 803 Chemical Agents and Basic Industrial ChemicalsChemical Agents and Basic Industrial Chemicals","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Tetramethylguanidine-based gels and colloids of cellulose","20171503565338","Carrera, Gonçalo V.S.M. (1); Raymundo, Anabela (2); Fernandes, Francisco M. Braz (3); Jordão, Noémi (1); Sousa, Isabel (2); da Ponte, Manuel Nunes (1); Branco, Luís C. (1) ","(1) LAQV/REQUIMTE Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa, CQFB/REQUIMTE, Caparica, 2829-516, Portugal (2) Instituto Superior de Agronomia, Universidade de Lisboa, LEAF – Linking Landscape Environment Agriculture and Food, Tapada da Ajuda, Lisboa; 1349-017, Portugal (3) CENIMAT/I3N, Materials Science Departament, Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa, Caparica, 2829-516, Portugal ","Carrera, Gonçalo V.S.M.(goncalo.carrera@fct.unl.pt) ","Carbohydrate Polymers","Carbohydr Polym","Elsevier Ltd","169","","58-64","August 1, 2017","2017","English","01448617","","10.1016/j.carbpol.2017.03.084","","CAPOD8","Journal article (JA)","Novel and stable gels of cellulose were produced. These gels are prepared at room temperature by combination of cellulose and tetramethylguanidine (TMG) in different ratios (1:1, 1:2, 1:3 in equivalents of alcohol groups of cellulose per number of molecules of TMG). Detailed NMR, SEM, rheological and XRD studies of these gels were carried out. The concentration of cellulose in the gel, temperature, frequency of oscillation and shear rate were used as variables in order to understand the fundamentals and optimize operational conditions, considering their possible use as matrices for CO2capture. Cellulose recovery from a specific gel was performed using ethanol as precipitating agent, leading to a lower crystallinity, which permits to consider this polymer in further studies associated to physical/chemical modification of cellulose. © 2017 Elsevier Ltd","35","Molecular biology","Carbon dioxide - Cellulose - Colloids - Gels - Molecular interactions - Nuclear magnetic resonance - Rheology","Alcohol group - Crystallinities - Frequency of oscillation - Operational conditions - Precipitating agents - Tetramethylguanidine - XRD studies","461.9 BiologyBiology - 801.3 Colloid ChemistryColloid Chemistry - 804.2 Inorganic CompoundsInorganic Compounds - 811.3 Cellulose, Lignin and DerivativesCellulose, Lignin and Derivatives - 931.1 MechanicsMechanics - 931.3 Atomic and Molecular PhysicsAtomic and Molecular Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Numerical investigation on heat transfer to supercritical CO2in rolling motion","20171503556990","Zhao, Zhenxing (1); Lin, Yuansheng (1); Yao, Shiwei (1); Zhang, Kelong (1); Wang, Wei (1); Liu, Zhouyang (1); Xiao, Qi (1) ","(1) Key Laboratory on Steam Power System, Wuhan 2nd Ship Design and Research, Wuhan; Hubei; 430205, China ","Zhao, Zhenxing(zzxxjtu@163.com) ","Annals of Nuclear Energy","Ann Nucl Energy","Elsevier Ltd","106","","97-110","August 1, 2017","2017","English","03064549","18732100","10.1016/j.anucene.2017.03.047","","ANENDJ","Journal article (JA)","The numerical calculations with and without rolling motions are conducted to investigate the effect of rolling motion on flow and heat transfer of supercritical CO2in a vertical double-pipe heat exchanger. The purpose is to provide the detailed information on heat transfer behaviors for better understanding the abnormal heat transfer mechanism of supercritical fluid in rolling motion. It concludes that the effect of rolling motion on the supercritical CO2is much more notable than that on conventional single-phase fluid. The rolling motion can cause the periodic oscillation of the local heat transfer coefficients and suppress the whole heat transfer deterioration. As supercritical CO2temperature or mass flux increases, the influences of rolling motion and flow direction on the heat transfer decrease markedly. The secondary flow induced by the rolling motion for upward flow is stronger than that for downward flow, and the influence of rolling motion on the left and right sides of the tube is more obvious than on other locations. The heat transfer deterioration phenomenon weakens gradually as the rolling period decreasing or rolling amplitude increasing. It is important to note that the rolling motion may bring about the large wall temperature oscillation and the wall peak temperature increment to influence the safety of high-pressure pipeline. © 2017 Elsevier Ltd","41","Heat transfer","Carbon dioxide - Computer simulation - Deterioration - Effluent treatment - Heat exchangers - High pressure effects - High pressure pipelines - Oscillating flow - Supercritical fluids","Double-pipe heat exchangers - Flow distribution - Heat transfer behavior - Heat transfer deterioration - Heat transfer mechanism - Local heat transfer coefficient - Numerical investigations - Rolling motion","452.4 Industrial Wastes Treatment and DisposalIndustrial Wastes Treatment and Disposal - 616.1 Heat Exchange Equipment and ComponentsHeat Exchange Equipment and Components - 619.1 Pipe, Piping and PipelinesPipe, Piping and Pipelines - 631.1 Fluid Flow, GeneralFluid Flow, General - 641.2 Heat TransferHeat Transfer - 723.5 Computer ApplicationsComputer Applications - 804.2 Inorganic CompoundsInorganic Compounds - 931.2 Physical Properties of Gases, Liquids and SolidsPhysical Properties of Gases, Liquids and Solids - 951 Materials ScienceMaterials Science","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Physicochemical and sensory (aroma and colour) characterisation of a non-centrifugal cane sugar (“panela”) beverage","20170903394942","García, Juliana María (1); Narváez, Paulo César (1); Heredia, Francisco José (2); Orjuela, Álvaro (1); Osorio, Coralia (3) ","(1) Grupo de Procesos Químicos y Bioquímicos, Departamento de Ingeniería Química y Ambiental, Universidad Nacional de Colombia, Bogotá; 111321, Colombia (2) Laboratory of Food Colour & Quality, University of Seville, Sevilla; 41012, Spain (3) Departamento de Química, Universidad Nacional de Colombia-Sede Bogotá, Bogotá; 14490, Colombia ","Orjuela, Álvaro(aorjuelal@unal.edu.co) ","Food Chemistry","Food Chem.","Elsevier Ltd","228","","7-13","August 1, 2017","2017","English","03088146","18737072","10.1016/j.foodchem.2017.01.134","","FOCHDJ","Journal article (JA)","Non-centrifugal cane sugar (NCS), also called “panela”, is a high carbohydrate-content food obtained by boil evaporation of the sugar cane juice. This study was undertaken to assess physicochemical properties and sensory characteristics of panela beverage at two different concentrations. Evaluation of pH, °Brix, and colour (tristimulus colorimetry) was carried out in all panela drink samples. In order to characterise the odour-active volatiles of the beverage, a simultaneous steam distillation-solvent extraction method was applied using a mixture of diethyl ether-pentane (1:1, w/w) as solvent. The Aroma Extract Dilution Analysis revealed the presence of six odour-active compounds, being 2-methyl pyrazine the key aroma compound of this beverage. PCA (Principal Component Analysis) showed that there were no differences in the aroma and physicochemical properties (pH and °Brix) with respect to the geographical origin of analysed samples; however colour depends on heating during processing of NCS. © 2017 Elsevier Ltd","21","Sugar cane","Beverages - Centrifugation - Color - Colorimetry - Distillation - Extraction - Fragrances - Odors - Principal component analysis - Solvent extraction - Solvents - Thermal processing (foods)","Aroma extract dilution analysis - Jaggery - Non-centrifugal cane sugar (NCS) - PCA (principal component analysis) - Physicochemical property - Saccharum officinarum - Solvent extraction methods - Steam distillation","741.1 Light/OpticsLight/Optics - 802.3 Chemical OperationsChemical Operations - 803 Chemical Agents and Basic Industrial ChemicalsChemical Agents and Basic Industrial Chemicals - 821.4 Agricultural ProductsAgricultural Products - 822.2 Food Processing OperationsFood Processing Operations - 822.3 Food ProductsFood Products - 922.2 Mathematical StatisticsMathematical Statistics - 941.4 Optical Variables MeasurementsOptical Variables Measurements","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"L-Carnitine ameliorates the oxidative stress response to angiotensin II by modulating NADPH oxidase through a reduction in protein kinase c activity and NF-κB translocation to the nucleus","20170703346240","Blanca, Antonio J. (1); Ruiz-Armenta, María V. (1); Zambrano, Sonia (1); Miguel-Carrasco, José L. (1); González-Roncero, Francisco M. (2); Fortuño, Ana (3); Revilla, Elisa (4); Mate, Alfonso (1, 5); Vázquez, Carmen M. (1, 5) ","(1) Departamento de Fisiología, Facultad de Farmacia, Universidad de Sevilla, CL Profesor García González 2, Sevilla; 41012, Spain (2) U.G.C. Nefrología, Hospital Universitario Virgen del Rocío, Avda. Manuel Siurot s/n, Sevilla; 41013, Spain (3) Program of Cardiovascular Sciences, Center for Applied Medical Research, University of Navarra, Avda. Pío XII 55, Pamplona; 31008, Spain (4) Departamento de Bioquímica, Facultad de Farmacia, Universidad de Sevilla, CL Profesor García González 2, Sevilla; 41012, Spain (5) Instituto de Biomedicina de Sevilla (IBIS), Hospital Universitario Virgen del Rocío/Consejo Superior de Investigaciones Científicas/Universidad de Sevilla, Avda. Manuel Siurot s/n, Sevilla; 41013, Spain ","Mate, Alfonso(mate@us.es) ","Food Chemistry","Food Chem.","Elsevier Ltd","228","","356-366","August 1, 2017","2017","English","03088146","18737072","10.1016/j.foodchem.2017.02.011","","FOCHDJ","Journal article (JA)","L-Carnitine (LC) exerts beneficial effects in arterial hypertension due, in part, to its antioxidant capacity. We investigated the signalling pathways involved in the effect of LC on angiotensin II (Ang II)-induced NADPH oxidase activation in NRK-52E cells. Ang II increased the generation of superoxide anion from NADPH oxidase, as well as the amount of hydrogen peroxide and nitrotyrosine. Co-incubation with LC managed to prevent these alterations and also reverted the changes in NADPH oxidase expression triggered by Ang II. Cell signalling studies evidenced that LC did not modify Ang II-induced phosphorylation of Akt, p38 MAPK or ERK1/2. On the other hand, a significant decrease in PKC activity, and inhibition of nuclear factor kappa B (NF-kB) translocation, were attributable to LC incubation. In conclusion, LC counteracts the pro-oxidative response to Ang II by modulating NADPH oxidase enzyme via reducing the activity of PKC and the translocation of NF-kB to the nucleus. © 2017 Elsevier Ltd","39","Cell signaling","Enzyme activity - Enzymes - Oxygen","Angiotensin II - Antioxidant capacity - Arterial hypertension - L-carnitine - NADPH oxidase - Nuclear factor kappaB - Oxidative stress response - Protein kinase c activities","461.1 Biomedical EngineeringBiomedical Engineering - 461.9 BiologyBiology - 804 Chemical Products GenerallyChemical Products Generally","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Existence of solutions to the nonlinear, singular second order Bohr boundary value problems","20170703339086","Fewster–Young, Nicholas (1, 2) ","(1) School of Information Technology and Mathematical Sciences, University of South Australia, Australia (2) School of Mathematics & Statistics, UNSW, Australia ","Fewster–Young, Nicholas(nick.fewster-young@unisa.edu.au) ","Nonlinear Analysis: Real World Applications","Nonlinear Anal. Real World Appl.","Elsevier Ltd","36","","183-202","August 1, 2017","2017","English","14681218","","10.1016/j.nonrwa.2017.01.009","","","Journal article (JA)","This paper investigates the existence of solutions for nonlinear systems of second order, singular boundary value problems (BVPs) with Bohr boundary conditions. A key application that arises from this theory is the famous Thomas–Fermi equations for the model of the atom when it is in a neutral state. The methodology in this paper uses an alternative and equivalent BVP, which is in the class of resonant singular BVPs, and thus this paper obtains novel results by implementing an innovative differential inequality, Lyapunov functions and topological techniques. This approach furnishes new results in the area of singular BVPs for a priori bounds and existence of solutions, where the BVP has unrestricted growth conditions and subject to the Bohr boundary conditions. In addition, the results can be relaxed and hold for the non-singular case too. © 2017","25","Boundary value problems","Boundary conditions - Equivalence classes - Lyapunov functions","Bohr - Differential inequalities - Existence of Solutions - Growth conditions - Resonant BVPs - Singular - Singular boundary value problems - Topological techniques","921 MathematicsMathematics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
