PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Srinivasan, S; Seshadri, H; Kumar, T; Rajan, SK				Srinivasan, S; Seshadri, H; Kumar, T; Rajan, SK			Determination of the Pu-240/Pu-239 ratio by alpha spectrometry using the WinALPHA program	APPLIED RADIATION AND ISOTOPES			English	Article								The isotopic ratio of Pu-240 to Pu-239 is an important parameter in identifying the origin of plutonium in a given radioactive sample. High-resolution mass spectrometry is generally accepted as an accurate technique for determining this ratio, but this is a very costly method. Alternatives to this method are alpha- and gamma-spectrometry studies but the problem with these low-cost method lies with the analysis of the spectrum. Recently, Noy et al. [2004. Nucl. Instrum. Methods in Phys. Res. A 525, 522-528] developed a computer program code called WinALPHA to quantitatively analyze the alpha spectrum; the program is available from the IAEA website. In this paper, we report the results obtained from the analysis of the alpha spectrum of plutonium from power bearing product samples from power reactor fuel reprocessing plant using the WinALPHA program. The results are found to be in good agreement (within 1-2%) with results from mass spectrometry. (c) 2005 Elsevier Ltd. All rights reserved.	Bhabha Atom Res Ctr Facil, Kalpakkam Reproc Plant, Kalpakkam 603102, Tamil Nadu, India	Srinivasan, S (reprint author), Bhabha Atom Res Ctr Facil, Kalpakkam Reproc Plant, Kalpakkam 603102, Tamil Nadu, India.	ssv@igcar.ernet.in					AGGARWAL SK, 1980, RADIOCHIM ACTA, V27, P1; *BROOKH NAT LAB, ENSDF; Noy RC, 2004, NUCL INSTRUM METH A, V525, P522, DOI 10.1016/j.nima.2004.02.010; Parus JL, 1996, NUCL INSTRUM METH A, V369, P588, DOI 10.1016/S0168-9002(96)80057-X; Vintro LL, 1996, NUCL INSTRUM METH A, V369, P597, DOI 10.1016/S0168-9002(96)80059-3	5	3	3	0	0	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0969-8043			APPL RADIAT ISOTOPES	Appl. Radiat. Isot.	MAY	2006	64	5					591	593		10.1016/j.apradiso.2005.11.018		3	Chemistry, Inorganic & Nuclear; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	Chemistry; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	036AA	WOS:000237041800014	16412657				
J	Kopytov, II; Nozdrin, GN; Kharchenko, ED; Bylkin, BK				Kopytov, I. I.; Nozdrin, G. N.; Kharchenko, E. D.; Bylkin, B. K.			Nuclear power plant site lifetime	ATOMIC ENERGY			English	Article								The interrelationship between the life cycle of a power-generating unit of a nuclear power plant and the life cycle of the plant site is examined. It is shown that the work performed at the final stage of the life cycle of a power-generating unit must be mutually coordinated with the life cycle of the site and the industry. This work is best viewed as a new investment project organized along the appropriate modern lines. It is recommended that the handling of the radioactive materials produced at all stages of the life cycle of the power-generating unit of a nuclear power plant and the optimal use of the plant site be studied from a different viewpoint - minimizing the cost of storing radioactive materials by converting a substantial portion of these materials into reusable industrial wastes.	Russian Sci Ctr, Kurchatov Inst, Inst Nucl Reactors, Moscow, Russia							ARZHAEV A, 2002, IAEA INT S NUCL POW; BYLKIN BK, 2001, IZV AKAD PROM EKOL, P67; BYLKIN BK, 1994, 6 RUSS SCI C PROT IO, V2, P181; BYLKIN BK, 2004, ATOM ENERG, V97, P451; KOPYTOV I, 2005, ZH ROSENERGOAT, P26; PYATUNIN BA, 1990, ATOM ENERG, V69, P157; ZIMIN VK, 2003, 4 ANN C NUCL SOC RUS, P132	7	0	0	1	2	CONSULTANTS BUREAU/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2006	100	5					317	324		10.1007/s10512-006-0088-2		8	Nuclear Science & Technology	Nuclear Science & Technology	090TV	WOS:000240975700001					
J	Glebov, AP; Klushin, AV				Glebov, A. P.; Klushin, A. V.			Reactor with a fast-resonance neutron spectrum, cooled by supercritical-pressure water with a bidirectional coolant flow scheme	ATOMIC ENERGY			English	Article								A scheme for circulating coolant and cooling the core that has advantages over the designs of similar nuclear power systems is proposed for light-water reactors with supercritical coolant parameters and a fast-resonance neutron spectrum. A negative void coefficient of reactivity is obtained for the entire run. of a,fuel assembly without building a blanket. A more uniform distribution, of the energy release over the core volume is achieved without using cornplicated fuel-enrichment schemes. The nonuniformity of the coolant temperature distribution at the core exit is decreased. The fuel assemblies operate with a much lower temperature drop over the core height. The core has a small reactivity excess on burnup and a BR of about 7, for which the most difficult operating regimes (flooding with cold water) can be handled with standard means (placement of absorbing organs of the safety and control system in similar to 2/3 of the fuel assemblies).								BARANAEV YD, 2002, ATOM ENERG, V92, P277; DOLGOV VV, 2002, ATOM ENERG, V92, P277; OKA Y, 2000, 4 INT S SUP WAT COOL, P1; OKA Y, 2000, 4 INT S SUP WAT COOL, P37; SHIOIRI A, 2003, ADV NUCL POWER PLANT	5	0	0	0	3	CONSULTANTS BUREAU/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2006	100	5					325	331		10.1007/s10512-006-0089-1		7	Nuclear Science & Technology	Nuclear Science & Technology	090TV	WOS:000240975700002					
J	Borisov, GB; Nazarov, AV; Poluektov, PP; Sukhanov, LP				Borisov, G. B.; Nazarov, A. V.; Poluektov, P. P.; Sukhanov, L. P.			Ultraphosphate glasses for immobilization of liquid plutonium-containing wastes	ATOMIC ENERGY			English	Article								Ultraphosphate glass is proposed for immobilization, taking account of the composition of the plutonium-containing wastes at the Mining-Chemical conglomerate. Some parameters of the process of immobilizing in ultraphosphate glass model wastes with plutonium content up to 150 mg/liter are investigated. A preliminary study is made of the degree of inclusion of plutonium dioxide, the chemical stability of the ultraphosphate glass obtained, and the distribution of plutonium in it. It is shown that almost 2 times more plutonium dioxide is included in ultraphosphate glass than in phosphate glass. With respect to the main physicochemical parameters, specifically, component leachability, ultraphosphate glass can. be regarded as promising for immobilizing liquid plutonium-containing wastes.								Alekseev N. E., 1980, LASER PHOSPHATE GLAS; GILL JB, 1969, J CHEM SOC A, P843, DOI 10.1039/j19690000843; *GOST, 1991, 2911491 GOST; VASHMAN AA, 1997, PHOSPHATE GLASSES RA, P48	4	0	0	0	1	CONSULTANTS BUREAU/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2006	100	5					346	349		10.1007/s10512-006-0092-6		4	Nuclear Science & Technology	Nuclear Science & Technology	090TV	WOS:000240975700005					
J	Vereshchagin, YI; Markovskii, DV; Pavshuk, VA; Ponomarev-Stepnoi, NN; Udovenko, AN; Khvostionov, VE; Chuvilin, DY; Rice, J; Tome, L				Vereshchagin, Yu. I.; Markovskii, D. V.; Pavshuk, V. A.; Ponomarev-Stepnoi, N. N.; Udovenko, A. N.; Khvostionov, V. E.; Chuvilin, D. Yu.; Rice, J.; Tome, L.			Sr-89 production in a reactor with solution fuel	ATOMIC ENERGY			English	Article								The experimental results for the validation of a technology for producing Sr-89 in a reactor with solution fuel are presented. The aggregate state of the fuel - a water solution. of uranyl sulfate UO2SO4 - opens up a unique possibility of acting not only on. the target radionuclide but also on its genetic precursors, produced as a result of nuclear transformations of the fission products as a whole in the decay chain Se-89 -> Br-89 -> Kr-89 -> Rb-89 -> Sr-89 The half-life of Kr-89 (T-1/2 = 190 sec) - a gaseous precursor of Sr-89 - is sufficient for it to leave the fuel solution and migrate into the gaseous medium. A series of experiments is performed on obtaining gas samples from the free volume of the solution of the 20 kW Argus minireactor. It is shown that the mechanism of delivery of Sr-89 into the sorption volume of the experimental loop of the Argus reactor system is based on transport along the Kr-89 loop. Measurements of the content of the radioactive impurities in a solution of (SrCl2)-Sr-89 showed that the purification of the gas flow by metal-ceramic filters and purification, of the solution. on DOWEX-50x8 or crown ehter Sr-Resin yields medical quality Sr-89. The productivity of the new technology, which is many fold greater than that of the modern industrial methods for producing Sr-89; is assessed on the basis of experimental data.	Russian Sci Ctr, Kurchatov Inst, Moscow, Russia	Vereshchagin, YI (reprint author), Russian Sci Ctr, Kurchatov Inst, Moscow, Russia.						AFANASEV NM, 1986, ATOM ENERG, V61, P7; BARANAEV YD, 2004, NOV PROMYSHL TEKHNOL, P23; Belanova T. S., 1986, HDB RAD NEUTRON CAPT; BUCHKOV VM, 1982, HDB CROSS SECTIONS T; Byakov V. M., 1990, RADIOLYSIS WATER NUC; DIETZ ML, 1992, APPL RADIAT ISOTOPES, V43, P1093; Kolesov V. F., 1999, APERIODIC PULSED REA; Kolobashkin V. M., 1983, HDB RAD CHARACTERIST; LAING AH, 1991, BRIT J RADIOL, V64, P816; LOBODA SV, 1989, ATOM ENERG, V67, P432; *MET, 1993, PROT COD SMS; OGORODNIKOV BI, 2001, AT TEKH RUBERZH, P14; PAVSHUK VA, 2005, ISOTOPES PROPERTIES, P513; Pecher C, 1942, U CALIF PUBL PHARM, V2, P1117; PONSARD B, 2005, P 5 INT C IS BRUSS B, P63; Voinov A. M., 1990, VOPROSY ATOMNOI FYR, P3; ZVONAREV AV, 1997, ATOM ENERG, V82, P396; [Anonymous], 2002, Centerwatch About drug Quadramet, Patent No. 6456680; ABALIN SS, 2000, Patent No. 2155399	19	1	1	0	3	CONSULTANTS BUREAU/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2006	100	5					350	358		10.1007/s10512-006-0093-5		9	Nuclear Science & Technology	Nuclear Science & Technology	090TV	WOS:000240975700006					
J	Strakhov, EB; Vorob'ev, VN; Smirnov, OA				Strakhov, E. B.; Vorob'ev, V. N.; Smirnov, O. A.			Computational estimate of tritium accumulation in heavy water reactors	ATOMIC ENERGY			English	Article																STRAKHOV EB, 2004, ATOM ENERG, V97, P159	1	0	0	0	1	CONSULTANTS BUREAU/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2006	100	5					376	377		10.1007/s10512-006-0097-1		2	Nuclear Science & Technology	Nuclear Science & Technology	090TV	WOS:000240975700010					
J	Ohnemus, J				Ohnemus, J			Uranium, a factor limiting nuclear energy?	ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER			German	Article								Nuclear power has been back as a topic of public debate since early this year. A special subject under discussion is the extension of nuclear power plant life. Hardly had it been on the agenda, when interested par-ties announced that this step was impossible because uranium reserves were no longer sufficient. A variety of terms are being used in this discussion without their meaning being taken into account: stocks, resources, and reserves. To clarify the situation, this article outlines important aspects of short and long term uranium supplies, and analyzes their meaning. Here are some of the most important issues under consideration: For what period of time is there really enough uranium? Is uranium becoming the limiting factor in the use of nuclear power? Is uranium really a "sustainable" energy resource? Will higher prices extend the range? What is the influence of the price of uranium on the cost of electricity generation? Among other results, it is found that comprehensive sources of low-price uranium and nuclear fuels are, or can be made, available worldwide. Consequently, the "range" is beyond the time frames currently mentioned, also as a function of technological factors, i.e. reaching several hundred years. It is also important to note that nuclear power ensures greater independence of volatile imported sources, guarantees reliably low electricity prices, has a huge potential of environmental protection, and is a clean source of energy.	Urenco Deutschland GmbH, Geschaftsfuhrer Urananreicherungsanlage, D-48599 Gronau, Germany	Ohnemus, J (reprint author), Urenco Deutschland GmbH, Geschaftsfuhrer Urananreicherungsanlage, Rontgenstr 4, D-48599 Gronau, Germany.							0	0	0	0	0	VERLAGSGRP HANDELSBLATT GMBH	DUSSELDORF	POSTFACH 10 11 02, D-40002 DUSSELDORF, GERMANY	1431-5254			ATW-INT J NUCL POWER	ATW-Int. J. Nucl. Power	MAY	2006	51	5					298	+				8	Nuclear Science & Technology	Nuclear Science & Technology	058MM	WOS:000238669100003					
J	Hampel, G; Eberhardt, K; Trautmann, N				Hampel, G.; Eberhardt, K.; Trautmann, N.			The research reactor TRIGA Mainz	ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER			English	Article								The TRIGA Mark II reactor at the Institut fur Kernchemie became first critical on August 3(rd), 1965. It can be operated in the steady state mode with a maximum power of 100 kWth and in the pulse mode with a peak power of 250 MWth. A survey of the research programmes performed at the TRIGA Mainz is given covering applications in basic research as well as applied science in nuclear chemistry and nuclear physics. Furthermore, the reactor is used for neutron activation analysis and for education and training of scientists, teachers, students and technical personal. Important projects for the future of the TRIGA Mainz are the UCN (ultra cold neutrons) experiment, fast chemical separation, medical., : applications and the use of the NAA as well as the use of the reactor facility for the training of students in the fields of nuclear. chemistry, nuclear physics and radiation protection. Taking into account the past and future operation schedule and the typically low burn-up of TRIGA fuel elements (similar to 4 g U-235/a), the reactor can be operated for at least the next decade taking into account the fresh fuel elements on stock and without changing spent fuels.	Johannes Gutenberg Univ Mainz, Inst Kernchem, D-55099 Mainz, Germany	Hampel, G (reprint author), Johannes Gutenberg Univ Mainz, Inst Kernchem, D-55099 Mainz, Germany.						ALTAREV I, 2000, EUME18; ALTAREV I, 2005, IN PRESS ANN REPORT; ALTAREV I, 2006, DPG FRUHJ PHYS HADR; Eberhardt K, 2000, KERNTECHNIK, V65, P269; EBERHARDT K, 2005, IN PRESS ANN REPORT; FOUQUET DM, 2003, TRIGA RES REACTORS P, V46; Golub R., 1991, ULTRACOLD NEUTRONS; HAMPEL G, 2005, IN PRESS ANN REPORT; KOUTZ SL, 1958, P 2 UN INT C PEAC US, P1017; KREY C, 2005, IN PRESS ANN REPORT; MCREYNOLDS AW, 1958, P 2 UN INT C PEAC US, P1540; MENKE H, 1975, KERNTECHNIK, V17, P281; Merten U., 1958, P 2 UN INT C PEAC US, P789; STENDER E, 1980, RADIOCHEM RADIOA LET, V42, P291; STONE RS, 1959, NUCL SCI ENG, V6, P255	15	3	3	0	3	INFORUM VERLAGS-VERWALTUNGSGESELLSCHAFT MBH	BERLIN	ROBERT-KOCH-PLATZ 4, BERLIN, 10115, GERMANY	1431-5254			ATW-INT J NUCL POWER	ATW-Int. J. Nucl. Power	MAY	2006	51	5					328	+				4	Nuclear Science & Technology	Nuclear Science & Technology	058MM	WOS:000238669100007					
J	Kaulard, J; Junger-Graf, B				Kaulard, J; Junger-Graf, B			Decommissioning the research reactors of the German Cancer Research Center in Heidelberg - Experience accumulated in "safe enclosure" and "direct disposal" as shown by the examples of the TRIGA HD I and TRIGA HD II reactors	ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER			German	Article								Between 1966 and 1977 and 1978 and 1999, the German Cancer Research Center (DKFZ), in Heidelberg ran 2 TRIGA Mark I research reactors to produce radioisotopes for medical applications and for cancer therapy. In its approaches to decommissioning and disposal of the 2 reactors, the DKFZ at different points. in time carried out both "safe enclosure" and "direct disposal." The TRIGA HD I research reactor was put into "safe enclosure" following its last decommissioning phase in August 1977, and has been in the final stages of dismantling since January 2006. The TRIGA HD II research reactor, which was shut down in December 1999, has been in the direct demolition and disposal phases since September 2004. Decommissioning these 2 reactors of similar designs, and evaluating the information available about the 2 decommissioning projects, allows the two decommissioning options to be compared and their potential pros and cons to be worked out in the light of practical, albeit special, examples. The article presents some initial findings made in this comparison. It should be noted, however, that these results must not be generalized or translated directly to other decommissioning projects.	Gesellsch Anlagen & Reaktorsicherheit mbH GRS, D-50667 Cologne, Germany; DKFZ Heidelberg, Deutsch Krebsforschungszentrum, D-69120 Heidelberg, Germany	Kaulard, J (reprint author), Gesellsch Anlagen & Reaktorsicherheit mbH GRS, Schwertnergasse 1, D-50667 Cologne, Germany.							0	0	0	0	1	VERLAGSGRP HANDELSBLATT GMBH	DUSSELDORF	POSTFACH 10 11 02, D-40002 DUSSELDORF, GERMANY	1431-5254			ATW-INT J NUCL POWER	ATW-Int. J. Nucl. Power	MAY	2006	51	5					331	+				7	Nuclear Science & Technology	Nuclear Science & Technology	058MM	WOS:000238669100008					
J	Kessler, G				Kessler, G			Analysis for a future proliferation resistant plutonium fuel cycle	ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER			English	Article; Proceedings Paper	International Workshop on Future Nuclear Systems and Fuel Cycles	SEP 01-02, 2005	Karlsruhe, GERMANY					After the International Fuel Cycle Evaluation Program around 1980-1982 the USA decided to give up reprocessing of spent LAIR fuel and refabrication of mixed oxide fuel as well as the use of MOX fuel in nuclear reactors. The USA decided as national nuclear waste policy to follow the direct spent fuel disposal. Germany also essentially followed the same waste policy for its fuel cycle just recently. Other countries, e.g. France, the UK or Japan did not follow this policy. In the USA there are in more recent times also discussions to keep the conditioned spent fuel elements retrievable from the geological disposal site to keep the possibility open for a later change of its fuel cycle policy. Research on actinide transmutation by recycling them in nuclear reactors is ongoing since about 10 years. Present IAEA (International Atomic Energy Agency) safeguards for reactor Pu and recycling of MOX fuel elements and the concern about the possible misuse of reactor Pu are certainly justified. Applying an conservative approach there exists a limit of 6-8% Pu-238 content for which the reactor Pu can be considered as "denatured". It is shown in a subsequent paper how such denatured reactor Pu can be generated by different options of the Pu fuel cycle and how such denatured Pu can be incinerated afterwards totally by multirecycling.	FZK, Res Ctr Karlsruhe, Inst Neutron Phys & Reactor Technol, D-76297 Stutensee, Germany	Kessler, G (reprint author), FZK, Res Ctr Karlsruhe, Inst Neutron Phys & Reactor Technol, Jagersteig 4, D-76297 Stutensee, Germany.						BROEDERS C, IN PRESS ATW; BROEDERS CHM, 1996, 5784 FZKA; BROEDERS CHM, IN PRESS NUCL SCI EN; CAMPBELL DO, 1978, ORNLTM6392; CONBEAR O, IN PRESS NUCL SCI EN; HEISINGGOODMAN CD, 1980, NUCL TECHNOL, V50, P242; HERBIG R, 1993, J NUCL MATER, V204, P93, DOI 10.1016/0022-3115(93)90204-C; *IAEA, 1980, INFCE SUMM VOL REP I; Kessler G, 2002, PROG NUCL ENERG, V40, P309, DOI 10.1016/S0149-1970(02)00024-0; KESSLER G, IN PRESS NUCL SCI EN; KESSLER G, 2001, ATOMWIRTSCHAFT, V46; Laidler J. J., 1997, Progress in Nuclear Energy, V31, P131, DOI 10.1016/0149-1970(96)00007-8; Marka J. C., 1993, SCI GLOBAL SECURITY, V4, P111, DOI 10.1080/08929889308426394; MASSEY JV, 1982, NUCL TECHNOL, V56, P55; *NAT AC SCI, 1995, MAN DISP EXC WEAP PL; SAITO M, 2003, INT C INN TECHN NUCL; Yuge T, 1960, J HEAT TRANSFER, V82, P214	17	0	0	0	2	VERLAGSGRP HANDELSBLATT GMBH	DUSSELDORF	POSTFACH 10 11 02, D-40002 DUSSELDORF, GERMANY	1431-5254			ATW-INT J NUCL POWER	ATW-Int. J. Nucl. Power	MAY	2006	51	5					337	+				5	Nuclear Science & Technology	Nuclear Science & Technology	058MM	WOS:000238669100009					
J	[Anonymous]				[Anonymous]			Statistics of foreign trade in radioactive materials 2003	ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER			German	Article								The German Federal Office for Industry and Foreign Trade Control (BAFA) keeps annual statistics of the imports and exports of radioactive materials, nuclear fuels included. The entries, some of them with precise details, cover the participating countries and the radionuclides concerned as well as all kinds of radioactive materials. The tables listed in the article represent the overall balance of the development of imports and exports of radioactive materials for the years 1985 to 2003 arranged by activity levels, including the development of nuclear fuel imports and exports. For the year 2003, an additional trade balance for irradiated and unirradiated nuclear fuels and source materials differentiated by enrichment is presented for the countries involved. In 2003, some 4,565 t of nuclear fuels and source materials were imported into the Federal Republic, while approx. 3,692 t were exported. The chief trading partners are countries of the European Union, Russia, the Czech Rpublic and South Africa.									0	0	0	0	0	VERLAGSGRP HANDELSBLATT GMBH	DUSSELDORF	POSTFACH 10 11 02, D-40002 DUSSELDORF, GERMANY	1431-5254			ATW-INT J NUCL POWER	ATW-Int. J. Nucl. Power	MAY	2006	51	5					341	+				3	Nuclear Science & Technology	Nuclear Science & Technology	058MM	WOS:000238669100010					
