,path_id,path_order,country,edge_weight,node_weight,country 1,year
0,1,1,USA,14.0,286.0,USA,2000
1,1,2,Russia,14.0,110.0,Russia,2000
4,3,1,USA,3.0,286.0,USA,2000
5,3,2,China,3.0,27.0,China,2000
6,4,1,USA,25.0,286.0,USA,2000
7,4,2,Germany,25.0,163.0,Germany,2000
8,5,1,USA,20.0,286.0,USA,2000
9,5,2,Japan,20.0,205.0,Japan,2000
10,6,1,USA,8.0,286.0,USA,2000
11,6,2,France,8.0,102.0,France,2000
12,7,1,USA,5.0,286.0,USA,2000
13,7,2,Canada,5.0,33.0,Canada,2000
14,8,1,USA,3.0,286.0,USA,2000
15,8,2,Australia,3.0,12.0,Australia,2000
18,10,1,USA,5.0,286.0,USA,2000
19,10,2,Mexico,5.0,8.0,Mexico,2000
20,11,1,USA,1.0,286.0,USA,2000
21,11,2,Korea,1.0,47.0,Korea,2000
24,13,1,USA,1.0,286.0,USA,2000
25,13,2,Netherlands,1.0,16.0,Netherlands,2000
26,14,1,USA,4.0,286.0,USA,2000
27,14,2,Italy,4.0,47.0,Italy,2000
28,15,1,USA,3.0,286.0,USA,2000
29,15,2,Switzerland,3.0,19.0,Switzerland,2000
30,16,1,USA,2.0,286.0,USA,2000
31,16,2,Belgium,2.0,34.0,Belgium,2000
44,23,1,USA,2.0,286.0,USA,2000
45,23,2,Poland,2.0,10.0,Poland,2000
48,25,1,USA,1.0,286.0,USA,2000
49,25,2,Norway,1.0,5.0,Norway,2000
58,30,1,USA,3.0,286.0,USA,2000
59,30,2,Hungary,3.0,12.0,Hungary,2000
64,33,1,USA,3.0,286.0,USA,2000
65,33,2,Israel,3.0,15.0,Israel,2000
66,34,1,USA,1.0,286.0,USA,2000
67,34,2,Arabia,1.0,2.0,Arabia,2000
70,36,1,USA,1.0,286.0,USA,2000
71,36,2,Egypt,1.0,8.0,Egypt,2000
84,43,1,Russia,1.0,110.0,Russia,2000
85,43,2,China,1.0,27.0,China,2000
86,44,1,Russia,7.0,110.0,Russia,2000
87,44,2,Germany,7.0,163.0,Germany,2000
88,45,1,Russia,8.0,110.0,Russia,2000
89,45,2,Japan,8.0,205.0,Japan,2000
90,46,1,Russia,5.0,110.0,Russia,2000
91,46,2,France,5.0,102.0,France,2000
98,50,1,Russia,1.0,110.0,Russia,2000
99,50,2,Mexico,1.0,8.0,Mexico,2000
100,51,1,Russia,1.0,110.0,Russia,2000
101,51,2,Korea,1.0,47.0,Korea,2000
102,52,1,Russia,1.0,110.0,Russia,2000
103,52,2,Spain,1.0,27.0,Spain,2000
106,54,1,Russia,2.0,110.0,Russia,2000
107,54,2,Italy,2.0,47.0,Italy,2000
108,55,1,Russia,2.0,110.0,Russia,2000
109,55,2,Switzerland,2.0,19.0,Switzerland,2000
110,56,1,Russia,4.0,110.0,Russia,2000
111,56,2,Belgium,4.0,34.0,Belgium,2000
112,57,1,Russia,1.0,110.0,Russia,2000
113,57,2,Sweden,1.0,22.0,Sweden,2000
124,63,1,Russia,1.0,110.0,Russia,2000
125,63,2,Poland,1.0,10.0,Poland,2000
130,66,1,Russia,1.0,110.0,Russia,2000
131,66,2,Finland,1.0,13.0,Finland,2000
136,69,1,Russia,1.0,110.0,Russia,2000
137,69,2,Czech,1.0,5.0,Czech,2000
138,70,1,Russia,1.0,110.0,Russia,2000
139,70,2,Hungary,1.0,12.0,Hungary,2000
166,84,1,India,1.0,44.0,India,2000
167,84,2,Japan,1.0,205.0,Japan,2000
242,122,1,China,2.0,27.0,China,2000
243,122,2,Japan,2.0,205.0,Japan,2000
260,131,1,China,1.0,27.0,China,2000
261,131,2,Italy,1.0,47.0,Italy,2000
262,132,1,China,1.0,27.0,China,2000
263,132,2,Switzerland,1.0,19.0,Switzerland,2000
264,133,1,China,1.0,27.0,China,2000
265,133,2,Belgium,1.0,34.0,Belgium,2000
292,147,1,China,1.0,27.0,China,2000
293,147,2,Hungary,1.0,12.0,Hungary,2000
316,159,1,Germany,11.0,163.0,Germany,2000
317,159,2,Japan,11.0,205.0,Japan,2000
318,160,1,Germany,16.0,163.0,Germany,2000
319,160,2,France,16.0,102.0,France,2000
320,161,1,Germany,2.0,163.0,Germany,2000
321,161,2,Canada,2.0,33.0,Canada,2000
322,162,1,Germany,1.0,163.0,Germany,2000
323,162,2,Australia,1.0,12.0,Australia,2000
324,163,1,Germany,2.0,163.0,Germany,2000
325,163,2,Brazil,2.0,18.0,Brazil,2000
330,166,1,Germany,1.0,163.0,Germany,2000
331,166,2,Spain,1.0,27.0,Spain,2000
332,167,1,Germany,4.0,163.0,Germany,2000
333,167,2,Netherlands,4.0,16.0,Netherlands,2000
334,168,1,Germany,8.0,163.0,Germany,2000
335,168,2,Italy,8.0,47.0,Italy,2000
336,169,1,Germany,7.0,163.0,Germany,2000
337,169,2,Switzerland,7.0,19.0,Switzerland,2000
338,170,1,Germany,2.0,163.0,Germany,2000
339,170,2,Belgium,2.0,34.0,Belgium,2000
340,171,1,Germany,4.0,163.0,Germany,2000
341,171,2,Sweden,4.0,22.0,Sweden,2000
352,177,1,Germany,1.0,163.0,Germany,2000
353,177,2,Poland,1.0,10.0,Poland,2000
358,180,1,Germany,2.0,163.0,Germany,2000
359,180,2,Finland,2.0,13.0,Finland,2000
360,181,1,Germany,1.0,163.0,Germany,2000
361,181,2,Argentina,1.0,7.0,Argentina,2000
364,183,1,Germany,1.0,163.0,Germany,2000
365,183,2,Czech,1.0,5.0,Czech,2000
366,184,1,Germany,2.0,163.0,Germany,2000
367,184,2,Hungary,2.0,12.0,Hungary,2000
390,196,1,Japan,5.0,205.0,Japan,2000
391,196,2,France,5.0,102.0,France,2000
396,199,1,Japan,1.0,205.0,Japan,2000
