,Year,Country 1,Country 2,No. of Collaborations,No. of Publications of Country 1,No. of Publications of Country 2,Collaborators,Total No. of Publications,Continent of Country 1,Continent of Country 2,Percent of Total Publications of Country 1,Percent of Total Publications of Country 2,Rank of Country 1,Rank of Country 2
0,2000,USA,Mexico,5.0,286.0,8.0,USA & Mexico,1391.0,North America,North America,20.5607476636,0.575125808771,1/133,25/133
1,2000,USA,Canada,5.0,286.0,33.0,USA & Canada,1391.0,North America,North America,20.5607476636,2.37239396118,1/133,10/133
16,2000,USA,Venezuela,1.0,286.0,1.0,USA & Venezuela,1391.0,North America,South America,20.5607476636,0.0718907260963,1/133,57/133
33,2000,USA,Egypt,1.0,286.0,8.0,USA & Egypt,1391.0,North America,Africa,20.5607476636,0.575125808771,1/133,26/133
48,2000,USA,China,3.0,286.0,27.0,USA & China,1391.0,North America,Asia,20.5607476636,1.9410496046,1/133,12/133
53,2000,USA,Russia,14.0,286.0,110.0,USA & Russia,1391.0,North America,Asia,20.5607476636,7.9079798706,1/133,4/133
54,2000,USA,Japan,20.0,286.0,205.0,USA & Japan,1391.0,North America,Asia,20.5607476636,14.7375988497,1/133,2/133
61,2000,USA,Korea,1.0,286.0,47.0,USA & Korea,1391.0,North America,Asia,20.5607476636,3.37886412653,1/133,7/133
63,2000,USA,Arabia,1.0,286.0,2.0,USA & Arabia,1391.0,North America,Asia,20.5607476636,0.143781452193,1/133,43/133
75,2000,USA,Israel,3.0,286.0,15.0,USA & Israel,1391.0,North America,Asia,20.5607476636,1.07836089145,1/133,17/133
85,2000,USA,Germany,25.0,286.0,163.0,USA & Germany,1391.0,North America,Europe,20.5607476636,11.7181883537,1/133,3/133
86,2000,USA,France,8.0,286.0,102.0,USA & France,1391.0,North America,Europe,20.5607476636,7.33285406183,1/133,5/133
88,2000,USA,Italy,4.0,286.0,47.0,USA & Italy,1391.0,North America,Europe,20.5607476636,3.37886412653,1/133,6/133
92,2000,USA,Poland,2.0,286.0,10.0,USA & Poland,1391.0,North America,Europe,20.5607476636,0.718907260963,1/133,23/133
93,2000,USA,Romania,1.0,286.0,11.0,USA & Romania,1391.0,North America,Europe,20.5607476636,0.79079798706,1/133,22/133
94,2000,USA,Netherlands,1.0,286.0,16.0,USA & Netherlands,1391.0,North America,Europe,20.5607476636,1.15025161754,1/133,16/133
95,2000,USA,Belgium,2.0,286.0,34.0,USA & Belgium,1391.0,North America,Europe,20.5607476636,2.44428468728,1/133,9/133
99,2000,USA,Hungary,3.0,286.0,12.0,USA & Hungary,1391.0,North America,Europe,20.5607476636,0.862688713156,1/133,20/133
103,2000,USA,Switzerland,3.0,286.0,19.0,USA & Switzerland,1391.0,North America,Europe,20.5607476636,1.36592379583,1/133,14/133
108,2000,USA,Norway,1.0,286.0,5.0,USA & Norway,1391.0,North America,Europe,20.5607476636,0.359453630482,1/133,31/133
109,2000,USA,Georgia,4.0,286.0,5.0,USA & Georgia,1391.0,North America,Europe,20.5607476636,0.359453630482,1/133,30/133
114,2000,USA,Lithuania,1.0,286.0,1.0,USA & Lithuania,1391.0,North America,Europe,20.5607476636,0.0718907260963,1/133,49/133
127,2000,USA,Monaco,1.0,286.0,1.0,USA & Monaco,1391.0,North America,Europe,20.5607476636,0.0718907260963,1/133,50/133
129,2000,USA,Australia,3.0,286.0,12.0,USA & Australia,1391.0,North America,Oceania,20.5607476636,0.862688713156,1/133,19/133
184,2000,Mexico,Russia,1.0,8.0,110.0,Mexico & Russia,1391.0,North America,Asia,0.575125808771,7.9079798706,25/133,4/133
322,2000,Canada,Korea,1.0,33.0,47.0,Canada & Korea,1391.0,North America,Asia,2.37239396118,3.37886412653,10/133,7/133
325,2000,Canada,Malaysia,1.0,33.0,1.0,Canada & Malaysia,1391.0,North America,Asia,2.37239396118,0.0718907260963,10/133,55/133
341,2000,Canada,Kuwait,1.0,33.0,1.0,Canada & Kuwait,1391.0,North America,Asia,2.37239396118,0.0718907260963,10/133,54/133
346,2000,Canada,Germany,2.0,33.0,163.0,Canada & Germany,1391.0,North America,Europe,2.37239396118,11.7181883537,10/133,3/133
354,2000,Canada,Romania,1.0,33.0,11.0,Canada & Romania,1391.0,North America,Europe,2.37239396118,0.79079798706,10/133,22/133
361,2000,Canada,Sweden,2.0,33.0,22.0,Canada & Sweden,1391.0,North America,Europe,2.37239396118,1.58159597412,10/133,13/133
364,2000,Canada,Switzerland,1.0,33.0,19.0,Canada & Switzerland,1391.0,North America,Europe,2.37239396118,1.36592379583,10/133,14/133
388,2000,Canada,Monaco,1.0,33.0,1.0,Canada & Monaco,1391.0,North America,Europe,2.37239396118,0.0718907260963,10/133,50/133
1760,2000,Brazil,Peru,1.0,18.0,1.0,Brazil & Peru,1391.0,South America,South America,1.29403306973,0.0718907260963,15/133,46/133
1797,2000,Brazil,Japan,1.0,18.0,205.0,Brazil & Japan,1391.0,South America,Asia,1.29403306973,14.7375988497,15/133,2/133
1828,2000,Brazil,Germany,2.0,18.0,163.0,Brazil & Germany,1391.0,South America,Europe,1.29403306973,11.7181883537,15/133,3/133
1829,2000,Brazil,France,1.0,18.0,102.0,Brazil & France,1391.0,South America,Europe,1.29403306973,7.33285406183,15/133,5/133
1831,2000,Brazil,Italy,2.0,18.0,47.0,Brazil & Italy,1391.0,South America,Europe,1.29403306973,3.37886412653,15/133,6/133
1837,2000,Brazil,Netherlands,2.0,18.0,16.0,Brazil & Netherlands,1391.0,South America,Europe,1.29403306973,1.15025161754,15/133,16/133
1840,2000,Brazil,Czech,2.0,18.0,5.0,Brazil & Czech,1391.0,South America,Europe,1.29403306973,0.359453630482,15/133,32/133
1842,2000,Brazil,Hungary,1.0,18.0,12.0,Brazil & Hungary,1391.0,South America,Europe,1.29403306973,0.862688713156,15/133,20/133
2061,2000,Argentina,Germany,1.0,7.0,163.0,Argentina & Germany,1391.0,South America,Europe,0.503235082674,11.7181883537,28/133,3/133
2176,2000,Venezuela,Germany,1.0,1.0,163.0,Venezuela & Germany,1391.0,South America,Europe,0.0718907260963,11.7181883537,57/133,3/133
2179,2000,Venezuela,Italy,1.0,1.0,47.0,Venezuela & Italy,1391.0,South America,Europe,0.0718907260963,3.37886412653,57/133,6/133
2184,2000,Venezuela,Romania,1.0,1.0,11.0,Venezuela & Romania,1391.0,South America,Europe,0.0718907260963,0.79079798706,57/133,22/133
3061,2000,Algeria,France,1.0,1.0,102.0,Algeria & France,1391.0,Africa,Europe,0.0718907260963,7.33285406183,47/133,5/133
3286,2000,Sudan,Sweden,1.0,3.0,22.0,Sudan & Sweden,1391.0,Africa,Europe,0.215672178289,1.58159597412,38/133,13/133
4172,2000,Morocco,France,3.0,8.0,102.0,Morocco & France,1391.0,Africa,Europe,0.575125808771,7.33285406183,27/133,5/133
5296,2000,China,Russia,1.0,27.0,110.0,China & Russia,1391.0,Asia,Asia,1.9410496046,7.9079798706,12/133,4/133
5297,2000,China,Japan,2.0,27.0,205.0,China & Japan,1391.0,Asia,Asia,1.9410496046,14.7375988497,12/133,2/133
5331,2000,China,Italy,1.0,27.0,47.0,China & Italy,1391.0,Asia,Europe,1.9410496046,3.37886412653,12/133,6/133
5338,2000,China,Belgium,1.0,27.0,34.0,China & Belgium,1391.0,Asia,Europe,1.9410496046,2.44428468728,12/133,9/133
5342,2000,China,Hungary,1.0,27.0,12.0,China & Hungary,1391.0,Asia,Europe,1.9410496046,0.862688713156,12/133,20/133
5346,2000,China,Switzerland,1.0,27.0,19.0,China & Switzerland,1391.0,Asia,Europe,1.9410496046,1.36592379583,12/133,14/133
5379,2000,India,Japan,1.0,44.0,205.0,India & Japan,1391.0,Asia,Asia,3.16319194824,14.7375988497,8/133,2/133
5697,2000,Russia,Japan,8.0,110.0,205.0,Russia & Japan,1391.0,Asia,Asia,7.9079798706,14.7375988497,4/133,2/133
5704,2000,Russia,Korea,1.0,110.0,47.0,Russia & Korea,1391.0,Asia,Asia,7.9079798706,3.37886412653,4/133,7/133
5728,2000,Russia,Germany,7.0,110.0,163.0,Russia & Germany,1391.0,Asia,Europe,7.9079798706,11.7181883537,4/133,3/133
5729,2000,Russia,France,5.0,110.0,102.0,Russia & France,1391.0,Asia,Europe,7.9079798706,7.33285406183,4/133,5/133
5731,2000,Russia,Italy,2.0,110.0,47.0,Russia & Italy,1391.0,Asia,Europe,7.9079798706,3.37886412653,4/133,6/133
5733,2000,Russia,Spain,1.0,110.0,27.0,Russia & Spain,1391.0,Asia,Europe,7.9079798706,1.9410496046,4/133,11/133
5734,2000,Russia,Ukraine,2.0,110.0,6.0,Russia & Ukraine,1391.0,Asia,Europe,7.9079798706,0.431344356578,4/133,29/133
5735,2000,Russia,Poland,1.0,110.0,10.0,Russia & Poland,1391.0,Asia,Europe,7.9079798706,0.718907260963,4/133,23/133
5738,2000,Russia,Belgium,4.0,110.0,34.0,Russia & Belgium,1391.0,Asia,Europe,7.9079798706,2.44428468728,4/133,9/133
5740,2000,Russia,Czech,1.0,110.0,5.0,Russia & Czech,1391.0,Asia,Europe,7.9079798706,0.359453630482,4/133,32/133
5742,2000,Russia,Hungary,1.0,110.0,12.0,Russia & Hungary,1391.0,Asia,Europe,7.9079798706,0.862688713156,4/133,20/133
5743,2000,Russia,Sweden,1.0,110.0,22.0,Russia & Sweden,1391.0,Asia,Europe,7.9079798706,1.58159597412,4/133,13/133
5746,2000,Russia,Switzerland,2.0,110.0,19.0,Russia & Switzerland,1391.0,Asia,Europe,7.9079798706,1.36592379583,4/133,14/133
5749,2000,Russia,Slovakia,1.0,110.0,4.0,Russia & Slovakia,1391.0,Asia,Europe,7.9079798706,0.287562904385,4/133,33/133
5750,2000,Russia,Finland,1.0,110.0,13.0,Russia & Finland,1391.0,Asia,Europe,7.9079798706,0.934579439252,4/133,18/133
5752,2000,Russia,Georgia,1.0,110.0,5.0,Russia & Georgia,1391.0,Asia,Europe,7.9079798706,0.359453630482,4/133,30/133
5781,2000,Japan,Korea,2.0,205.0,47.0,Japan & Korea,1391.0,Asia,Asia,14.7375988497,3.37886412653,2/133,7/133
5805,2000,Japan,Germany,11.0,205.0,163.0,Japan & Germany,1391.0,Asia,Europe,14.7375988497,11.7181883537,2/133,3/133
5806,2000,Japan,France,5.0,205.0,102.0,Japan & France,1391.0,Asia,Europe,14.7375988497,7.33285406183,2/133,5/133
5808,2000,Japan,Italy,3.0,205.0,47.0,Japan & Italy,1391.0,Asia,Europe,14.7375988497,3.37886412653,2/133,6/133
5814,2000,Japan,Netherlands,2.0,205.0,16.0,Japan & Netherlands,1391.0,Asia,Europe,14.7375988497,1.15025161754,2/133,16/133
5815,2000,Japan,Belgium,1.0,205.0,34.0,Japan & Belgium,1391.0,Asia,Europe,14.7375988497,2.44428468728,2/133,9/133
5817,2000,Japan,Czech,1.0,205.0,5.0,Japan & Czech,1391.0,Asia,Europe,14.7375988497,0.359453630482,2/133,32/133
5820,2000,Japan,Sweden,2.0,205.0,22.0,Japan & Sweden,1391.0,Asia,Europe,14.7375988497,1.58159597412,2/133,13/133
5823,2000,Japan,Switzerland,2.0,205.0,19.0,Japan & Switzerland,1391.0,Asia,Europe,14.7375988497,1.36592379583,2/133,14/133
6515,2000,Malaysia,Kuwait,1.0,1.0,1.0,Malaysia & Kuwait,1391.0,Asia,Asia,0.0718907260963,0.0718907260963,55/133,54/133
6528,2000,Malaysia,Romania,1.0,1.0,11.0,Malaysia & Romania,1391.0,Asia,Europe,0.0718907260963,0.79079798706,55/133,22/133
6535,2000,Malaysia,Sweden,1.0,1.0,22.0,Malaysia & Sweden,1391.0,Asia,Europe,0.0718907260963,1.58159597412,55/133,13/133
7209,2000,Israel,Switzerland,1.0,15.0,19.0,Israel & Switzerland,1391.0,Asia,Europe,1.07836089145,1.36592379583,17/133,14/133
7464,2000,Kuwait,Romania,1.0,1.0,11.0,Kuwait & Romania,1391.0,Asia,Europe,0.0718907260963,0.79079798706,54/133,22/133
7471,2000,Kuwait,Sweden,1.0,1.0,22.0,Kuwait & Sweden,1391.0,Asia,Europe,0.0718907260963,1.58159597412,54/133,13/133
7697,2000,Germany,France,16.0,163.0,102.0,Germany & France,1391.0,Europe,Europe,11.7181883537,7.33285406183,3/133,5/133
7699,2000,Germany,Italy,8.0,163.0,47.0,Germany & Italy,1391.0,Europe,Europe,11.7181883537,3.37886412653,3/133,6/133
7701,2000,Germany,Spain,1.0,163.0,27.0,Germany & Spain,1391.0,Europe,Europe,11.7181883537,1.9410496046,3/133,11/133
7703,2000,Germany,Poland,1.0,163.0,10.0,Germany & Poland,1391.0,Europe,Europe,11.7181883537,0.718907260963,3/133,23/133
7704,2000,Germany,Romania,1.0,163.0,11.0,Germany & Romania,1391.0,Europe,Europe,11.7181883537,0.79079798706,3/133,22/133
7705,2000,Germany,Netherlands,4.0,163.0,16.0,Germany & Netherlands,1391.0,Europe,Europe,11.7181883537,1.15025161754,3/133,16/133
7706,2000,Germany,Belgium,2.0,163.0,34.0,Germany & Belgium,1391.0,Europe,Europe,11.7181883537,2.44428468728,3/133,9/133
7708,2000,Germany,Czech,1.0,163.0,5.0,Germany & Czech,1391.0,Europe,Europe,11.7181883537,0.359453630482,3/133,32/133
7710,2000,Germany,Hungary,2.0,163.0,12.0,Germany & Hungary,1391.0,Europe,Europe,11.7181883537,0.862688713156,3/133,20/133
7711,2000,Germany,Sweden,4.0,163.0,22.0,Germany & Sweden,1391.0,Europe,Europe,11.7181883537,1.58159597412,3/133,13/133
7714,2000,Germany,Switzerland,7.0,163.0,19.0,Germany & Switzerland,1391.0,Europe,Europe,11.7181883537,1.36592379583,3/133,14/133
7717,2000,Germany,Slovakia,1.0,163.0,4.0,Germany & Slovakia,1391.0,Europe,Europe,11.7181883537,0.287562904385,3/133,33/133
7718,2000,Germany,Finland,2.0,163.0,13.0,Germany & Finland,1391.0,Europe,Europe,11.7181883537,0.934579439252,3/133,18/133
7740,2000,Germany,Australia,1.0,163.0,12.0,Germany & Australia,1391.0,Europe,Oceania,11.7181883537,0.862688713156,3/133,19/133
7743,2000,France,Kingdom,1.0,102.0,1.0,France & Kingdom,1391.0,Europe,Europe,7.33285406183,0.0718907260963,5/133,45/133
7744,2000,France,Italy,7.0,102.0,47.0,France & Italy,1391.0,Europe,Europe,7.33285406183,3.37886412653,5/133,6/133
7747,2000,France,Ukraine,1.0,102.0,6.0,France & Ukraine,1391.0,Europe,Europe,7.33285406183,0.431344356578,5/133,29/133
7748,2000,France,Poland,3.0,102.0,10.0,France & Poland,1391.0,Europe,Europe,7.33285406183,0.718907260963,5/133,23/133
7750,2000,France,Netherlands,5.0,102.0,16.0,France & Netherlands,1391.0,Europe,Europe,7.33285406183,1.15025161754,5/133,16/133
7751,2000,France,Belgium,5.0,102.0,34.0,France & Belgium,1391.0,Europe,Europe,7.33285406183,2.44428468728,5/133,9/133
7754,2000,France,Portugal,1.0,102.0,2.0,France & Portugal,1391.0,Europe,Europe,7.33285406183,0.143781452193,5/133,40/133
7755,2000,France,Hungary,1.0,102.0,12.0,France & Hungary,1391.0,Europe,Europe,7.33285406183,0.862688713156,5/133,20/133
7757,2000,France,Austria,2.0,102.0,9.0,France & Austria,1391.0,Europe,Europe,7.33285406183,0.647016534867,5/133,24/133
7759,2000,France,Switzerland,5.0,102.0,19.0,France & Switzerland,1391.0,Europe,Europe,7.33285406183,1.36592379583,5/133,14/133
7773,2000,France,Slovenia,1.0,102.0,4.0,France & Slovenia,1391.0,Europe,Europe,7.33285406183,0.287562904385,5/133,34/133
7836,2000,Italy,Romania,1.0,47.0,11.0,Italy & Romania,1391.0,Europe,Europe,3.37886412653,0.79079798706,6/133,22/133
7837,2000,Italy,Netherlands,1.0,47.0,16.0,Italy & Netherlands,1391.0,Europe,Europe,3.37886412653,1.15025161754,6/133,16/133
7838,2000,Italy,Belgium,1.0,47.0,34.0,Italy & Belgium,1391.0,Europe,Europe,3.37886412653,2.44428468728,6/133,9/133
7839,2000,Italy,Greece,1.0,47.0,1.0,Italy & Greece,1391.0,Europe,Europe,3.37886412653,0.0718907260963,6/133,51/133
7842,2000,Italy,Hungary,1.0,47.0,12.0,Italy & Hungary,1391.0,Europe,Europe,3.37886412653,0.862688713156,6/133,20/133
7844,2000,Italy,Austria,1.0,47.0,9.0,Italy & Austria,1391.0,Europe,Europe,3.37886412653,0.647016534867,6/133,24/133
7846,2000,Italy,Switzerland,5.0,47.0,19.0,Italy & Switzerland,1391.0,Europe,Europe,3.37886412653,1.36592379583,6/133,14/133
7850,2000,Italy,Finland,1.0,47.0,13.0,Italy & Finland,1391.0,Europe,Europe,3.37886412653,0.934579439252,6/133,18/133
7854,2000,Italy,Croatia,1.0,47.0,1.0,Italy & Croatia,1391.0,Europe,Europe,3.37886412653,0.0718907260963,6/133,44/133
7926,2000,Spain,Sweden,2.0,27.0,22.0,Spain & Sweden,1391.0,Europe,Europe,1.9410496046,1.58159597412,11/133,13/133
8008,2000,Poland,Switzerland,1.0,10.0,19.0,Poland & Switzerland,1391.0,Europe,Europe,0.718907260963,1.36592379583,23/133,14/133
8022,2000,Poland,Slovenia,1.0,10.0,4.0,Poland & Slovenia,1391.0,Europe,Europe,0.718907260963,0.287562904385,23/133,34/133
8038,2000,Romania,Belgium,2.0,11.0,34.0,Romania & Belgium,1391.0,Europe,Europe,0.79079798706,2.44428468728,22/133,9/133
8043,2000,Romania,Sweden,1.0,11.0,22.0,Romania & Sweden,1391.0,Europe,Europe,0.79079798706,1.58159597412,22/133,13/133
8056,2000,Romania,Moldova,1.0,11.0,1.0,Romania & Moldova,1391.0,Europe,Europe,0.79079798706,0.0718907260963,22/133,53/133
8083,2000,Netherlands,Switzerland,2.0,16.0,19.0,Netherlands & Switzerland,1391.0,Europe,Europe,1.15025161754,1.36592379583,16/133,14/133
8115,2000,Belgium,Hungary,1.0,34.0,12.0,Belgium & Hungary,1391.0,Europe,Europe,2.44428468728,0.862688713156,9/133,20/133
8119,2000,Belgium,Switzerland,2.0,34.0,19.0,Belgium & Switzerland,1391.0,Europe,Europe,2.44428468728,1.36592379583,9/133,14/133
8122,2000,Belgium,Slovakia,1.0,34.0,4.0,Belgium & Slovakia,1391.0,Europe,Europe,2.44428468728,0.287562904385,9/133,33/133
8127,2000,Belgium,Croatia,1.0,34.0,1.0,Belgium & Croatia,1391.0,Europe,Europe,2.44428468728,0.0718907260963,9/133,44/133
8145,2000,Belgium,Australia,1.0,34.0,12.0,Belgium & Australia,1391.0,Europe,Oceania,2.44428468728,0.862688713156,9/133,19/133
8251,2000,Hungary,Austria,1.0,12.0,9.0,Hungary & Austria,1391.0,Europe,Europe,0.862688713156,0.647016534867,20/133,24/133
8289,2000,Sweden,Norway,1.0,22.0,5.0,Sweden & Norway,1391.0,Europe,Europe,1.58159597412,0.359453630482,13/133,31/133
8314,2000,Austria,Switzerland,2.0,9.0,19.0,Austria & Switzerland,1391.0,Europe,Europe,0.647016534867,1.36592379583,24/133,14/133
8340,2000,Austria,Australia,1.0,9.0,12.0,Austria & Australia,1391.0,Europe,Oceania,0.647016534867,0.862688713156,24/133,19/133
8428,2000,Denmark,Finland,1.0,3.0,13.0,Denmark & Finland,1391.0,Europe,Europe,0.215672178289,0.934579439252,36/133,18/133
8431,2000,Denmark,Ireland,1.0,3.0,1.0,Denmark & Ireland,1391.0,Europe,Europe,0.215672178289,0.0718907260963,36/133,48/133
8778,2001,USA,Mexico,4.0,260.0,12.0,USA & Mexico,1488.0,North America,North America,17.4731182796,0.806451612903,1/133,22/133
8779,2001,USA,Canada,10.0,260.0,36.0,USA & Canada,1488.0,North America,North America,17.4731182796,2.41935483871,1/133,9/133
8794,2001,USA,Venezuela,1.0,260.0,2.0,USA & Venezuela,1488.0,North America,South America,17.4731182796,0.134408602151,1/133,47/133
8826,2001,USA,China,2.0,260.0,26.0,USA & China,1488.0,North America,Asia,17.4731182796,1.74731182796,1/133,14/133
8827,2001,USA,India,2.0,260.0,50.0,USA & India,1488.0,North America,Asia,17.4731182796,3.36021505376,1/133,7/133
8831,2001,USA,Russia,18.0,260.0,85.0,USA & Russia,1488.0,North America,Asia,17.4731182796,5.7123655914,1/133,5/133
8832,2001,USA,Japan,17.0,260.0,210.0,USA & Japan,1488.0,North America,Asia,17.4731182796,14.1129032258,1/133,2/133
8835,2001,USA,Turkey,1.0,260.0,19.0,USA & Turkey,1488.0,North America,Asia,17.4731182796,1.27688172043,1/133,19/133
8839,2001,USA,Korea,2.0,260.0,35.0,USA & Korea,1488.0,North America,Asia,17.4731182796,2.35215053763,1/133,10/133
8853,2001,USA,Israel,3.0,260.0,7.0,USA & Israel,1488.0,North America,Asia,17.4731182796,0.470430107527,1/133,33/133
8862,2001,USA,Taiwan,2.0,260.0,9.0,USA & Taiwan,1488.0,North America,Asia,17.4731182796,0.604838709677,1/133,28/133
8863,2001,USA,Germany,26.0,260.0,178.0,USA & Germany,1488.0,North America,Europe,17.4731182796,11.9623655914,1/133,3/133
8864,2001,USA,France,9.0,260.0,103.0,USA & France,1488.0,North America,Europe,17.4731182796,6.92204301075,1/133,4/133
