YEAR,Source,Target,Weight,Id,Type,Label
2000,USA , Russia,14,0,Undirected,USA  ->  Russia
2000,USA , China,3,1,Undirected,USA  ->  China
2000,USA , Germany,25,2,Undirected,USA  ->  Germany
2000,USA , Japan,20,3,Undirected,USA  ->  Japan
2000,USA , France,8,4,Undirected,USA  ->  France
2000,USA , Canada,5,5,Undirected,USA  ->  Canada
2000,USA , Australia,3,6,Undirected,USA  ->  Australia
2000,USA , Mexico,5,7,Undirected,USA  ->  Mexico
2000,USA , Korea,1,8,Undirected,USA  ->  Korea
2000,USA , Netherlands,1,9,Undirected,USA  ->  Netherlands
2000,USA , Italy,4,10,Undirected,USA  ->  Italy
2000,USA , Switzerland,3,11,Undirected,USA  ->  Switzerland
2000,USA , Belgium,2,12,Undirected,USA  ->  Belgium
2000,USA , Russia,14,13,Undirected,USA  ->  Russia
2000,USA , Poland,2,14,Undirected,USA  ->  Poland
2000,USA , Norway,1,15,Undirected,USA  ->  Norway
2000,USA , Hungary,3,16,Undirected,USA  ->  Hungary
2000,USA , Israel,3,17,Undirected,USA  ->  Israel
2000,USA , Arabia,1,18,Undirected,USA  ->  Arabia
2000,USA , Egypt,1,19,Undirected,USA  ->  Egypt
2000,Russia , USA,14,20,Undirected,Russia  ->  USA
2000,Russia , China,1,21,Undirected,Russia  ->  China
2000,Russia , Germany,7,22,Undirected,Russia  ->  Germany
2000,Russia , Japan,8,23,Undirected,Russia  ->  Japan
2000,Russia , France,5,24,Undirected,Russia  ->  France
2000,Russia , Mexico,1,25,Undirected,Russia  ->  Mexico
2000,Russia , Korea,1,26,Undirected,Russia  ->  Korea
2000,Russia , Spain,1,27,Undirected,Russia  ->  Spain
2000,Russia , Italy,2,28,Undirected,Russia  ->  Italy
2000,Russia , Switzerland,2,29,Undirected,Russia  ->  Switzerland
2000,Russia , Belgium,4,30,Undirected,Russia  ->  Belgium
2000,Russia , Sweden,1,31,Undirected,Russia  ->  Sweden
2000,Russia , Russia,110,32,Undirected,Russia  ->  Russia
2000,Russia , Poland,1,33,Undirected,Russia  ->  Poland
2000,Russia , Finland,1,34,Undirected,Russia  ->  Finland
2000,Russia , Czech,1,35,Undirected,Russia  ->  Czech
2000,Russia , Hungary,1,36,Undirected,Russia  ->  Hungary
2000,India , Japan,1,37,Undirected,India  ->  Japan
2000,China , USA,3,38,Undirected,China  ->  USA
2000,China , Russia,1,39,Undirected,China  ->  Russia
2000,China , Japan,2,40,Undirected,China  ->  Japan
2000,China , Italy,1,41,Undirected,China  ->  Italy
2000,China , Switzerland,1,42,Undirected,China  ->  Switzerland
2000,China , Belgium,1,43,Undirected,China  ->  Belgium
2000,China , Russia,1,44,Undirected,China  ->  Russia
2000,China , Hungary,1,45,Undirected,China  ->  Hungary
2000,Germany , USA,25,46,Undirected,Germany  ->  USA
2000,Germany , Russia,7,47,Undirected,Germany  ->  Russia
2000,Germany , Japan,11,48,Undirected,Germany  ->  Japan
2000,Germany , France,16,49,Undirected,Germany  ->  France
2000,Germany , Canada,2,50,Undirected,Germany  ->  Canada
2000,Germany , Australia,1,51,Undirected,Germany  ->  Australia
2000,Germany , Brazil,2,52,Undirected,Germany  ->  Brazil
2000,Germany , Spain,1,53,Undirected,Germany  ->  Spain
2000,Germany , Netherlands,4,54,Undirected,Germany  ->  Netherlands
2000,Germany , Italy,8,55,Undirected,Germany  ->  Italy
2000,Germany , Switzerland,7,56,Undirected,Germany  ->  Switzerland
2000,Germany , Belgium,2,57,Undirected,Germany  ->  Belgium
2000,Germany , Sweden,4,58,Undirected,Germany  ->  Sweden
2000,Germany , Russia,7,59,Undirected,Germany  ->  Russia
2000,Germany , Poland,1,60,Undirected,Germany  ->  Poland
2000,Germany , Finland,2,61,Undirected,Germany  ->  Finland
2000,Germany , Argentina,1,62,Undirected,Germany  ->  Argentina
2000,Germany , Czech,1,63,Undirected,Germany  ->  Czech
2000,Germany , Hungary,2,64,Undirected,Germany  ->  Hungary
2000,Japan , USA,20,65,Undirected,Japan  ->  USA
2000,Japan , Russia,8,66,Undirected,Japan  ->  Russia
2000,Japan , India,1,67,Undirected,Japan  ->  India
2000,Japan , China,2,68,Undirected,Japan  ->  China
2000,Japan , Germany,11,69,Undirected,Japan  ->  Germany
2000,Japan , France,5,70,Undirected,Japan  ->  France
2000,Japan , Brazil,1,71,Undirected,Japan  ->  Brazil
2000,Japan , Korea,2,72,Undirected,Japan  ->  Korea
2000,Japan , Netherlands,2,73,Undirected,Japan  ->  Netherlands
2000,Japan , Italy,3,74,Undirected,Japan  ->  Italy
2000,Japan , Switzerland,2,75,Undirected,Japan  ->  Switzerland
2000,Japan , Belgium,1,76,Undirected,Japan  ->  Belgium
2000,Japan , Sweden,2,77,Undirected,Japan  ->  Sweden
2000,Japan , Russia,8,78,Undirected,Japan  ->  Russia
2000,Japan , Czech,1,79,Undirected,Japan  ->  Czech
2000,France , USA,8,80,Undirected,France  ->  USA
2000,France , Russia,5,81,Undirected,France  ->  Russia
2000,France , Germany,16,82,Undirected,France  ->  Germany
2000,France , Japan,5,83,Undirected,France  ->  Japan
2000,France , Brazil,1,84,Undirected,France  ->  Brazil
2000,France , Netherlands,5,85,Undirected,France  ->  Netherlands
2000,France , Italy,7,86,Undirected,France  ->  Italy
2000,France , Switzerland,5,87,Undirected,France  ->  Switzerland
2000,France , Belgium,5,88,Undirected,France  ->  Belgium
2000,France , Russia,5,89,Undirected,France  ->  Russia
2000,France , Portugal,1,90,Undirected,France  ->  Portugal
2000,France , Poland,3,91,Undirected,France  ->  Poland
2000,France , Austria,2,92,Undirected,France  ->  Austria
2000,France , Hungary,1,93,Undirected,France  ->  Hungary
2000,France , Morocco,3,94,Undirected,France  ->  Morocco
2000,Canada , USA,5,95,Undirected,Canada  ->  USA
2000,Canada , Germany,2,96,Undirected,Canada  ->  Germany
2000,Canada , Korea,1,97,Undirected,Canada  ->  Korea
2000,Canada , Switzerland,1,98,Undirected,Canada  ->  Switzerland
2000,Canada , Sweden,2,99,Undirected,Canada  ->  Sweden
2000,Australia , USA,3,100,Undirected,Australia  ->  USA
2000,Australia , Germany,1,101,Undirected,Australia  ->  Germany
2000,Australia , Belgium,1,102,Undirected,Australia  ->  Belgium
2000,Australia , Austria,1,103,Undirected,Australia  ->  Austria
2000,Brazil , Germany,2,104,Undirected,Brazil  ->  Germany
2000,Brazil , Japan,1,105,Undirected,Brazil  ->  Japan
2000,Brazil , France,1,106,Undirected,Brazil  ->  France
2000,Brazil , Netherlands,2,107,Undirected,Brazil  ->  Netherlands
2000,Brazil , Italy,2,108,Undirected,Brazil  ->  Italy
2000,Brazil , Czech,2,109,Undirected,Brazil  ->  Czech
2000,Brazil , Hungary,1,110,Undirected,Brazil  ->  Hungary
2000,Mexico , USA,5,111,Undirected,Mexico  ->  USA
2000,Mexico , Russia,1,112,Undirected,Mexico  ->  Russia
2000,Mexico , Russia,1,113,Undirected,Mexico  ->  Russia
2000,Korea , USA,1,114,Undirected,Korea  ->  USA
2000,Korea , Russia,1,115,Undirected,Korea  ->  Russia
2000,Korea , Japan,2,116,Undirected,Korea  ->  Japan
2000,Korea , Canada,1,117,Undirected,Korea  ->  Canada
2000,Korea , Russia,1,118,Undirected,Korea  ->  Russia
2000,Spain , Russia,1,119,Undirected,Spain  ->  Russia
2000,Spain , Germany,1,120,Undirected,Spain  ->  Germany
2000,Spain , Sweden,2,121,Undirected,Spain  ->  Sweden
2000,Spain , Russia,1,122,Undirected,Spain  ->  Russia
2000,Netherlands , USA,1,123,Undirected,Netherlands  ->  USA
2000,Netherlands , Germany,4,124,Undirected,Netherlands  ->  Germany
2000,Netherlands , Japan,2,125,Undirected,Netherlands  ->  Japan
2000,Netherlands , France,5,126,Undirected,Netherlands  ->  France
2000,Netherlands , Brazil,2,127,Undirected,Netherlands  ->  Brazil
2000,Netherlands , Italy,1,128,Undirected,Netherlands  ->  Italy
2000,Netherlands , Switzerland,2,129,Undirected,Netherlands  ->  Switzerland
2000,Italy , USA,4,130,Undirected,Italy  ->  USA
2000,Italy , Russia,2,131,Undirected,Italy  ->  Russia
2000,Italy , China,1,132,Undirected,Italy  ->  China
2000,Italy , Germany,8,133,Undirected,Italy  ->  Germany
2000,Italy , Japan,3,134,Undirected,Italy  ->  Japan
2000,Italy , France,7,135,Undirected,Italy  ->  France
2000,Italy , Brazil,2,136,Undirected,Italy  ->  Brazil
2000,Italy , Netherlands,1,137,Undirected,Italy  ->  Netherlands
2000,Italy , Switzerland,5,138,Undirected,Italy  ->  Switzerland
2000,Italy , Belgium,1,139,Undirected,Italy  ->  Belgium
2000,Italy , Russia,2,140,Undirected,Italy  ->  Russia
2000,Italy , Austria,1,141,Undirected,Italy  ->  Austria
2000,Italy , Finland,1,142,Undirected,Italy  ->  Finland
2000,Italy , Hungary,1,143,Undirected,Italy  ->  Hungary
2000,Italy , Greece,1,144,Undirected,Italy  ->  Greece
2000,Switzerland , USA,3,145,Undirected,Switzerland  ->  USA
2000,Switzerland , Russia,2,146,Undirected,Switzerland  ->  Russia
2000,Switzerland , China,1,147,Undirected,Switzerland  ->  China
2000,Switzerland , Germany,7,148,Undirected,Switzerland  ->  Germany
2000,Switzerland , Japan,2,149,Undirected,Switzerland  ->  Japan
2000,Switzerland , France,5,150,Undirected,Switzerland  ->  France
2000,Switzerland , Canada,1,151,Undirected,Switzerland  ->  Canada
2000,Switzerland , Netherlands,2,152,Undirected,Switzerland  ->  Netherlands
2000,Switzerland , Italy,5,153,Undirected,Switzerland  ->  Italy
2000,Switzerland , Belgium,2,154,Undirected,Switzerland  ->  Belgium
2000,Switzerland , Russia,2,155,Undirected,Switzerland  ->  Russia
2000,Switzerland , Poland,1,156,Undirected,Switzerland  ->  Poland
2000,Switzerland , Austria,2,157,Undirected,Switzerland  ->  Austria
2000,Switzerland , Israel,1,158,Undirected,Switzerland  ->  Israel
2000,Belgium , USA,2,159,Undirected,Belgium  ->  USA
2000,Belgium , Russia,4,160,Undirected,Belgium  ->  Russia
2000,Belgium , China,1,161,Undirected,Belgium  ->  China
2000,Belgium , Germany,2,162,Undirected,Belgium  ->  Germany
2000,Belgium , Japan,1,163,Undirected,Belgium  ->  Japan
2000,Belgium , France,5,164,Undirected,Belgium  ->  France
2000,Belgium , Australia,1,165,Undirected,Belgium  ->  Australia
2000,Belgium , Italy,1,166,Undirected,Belgium  ->  Italy
2000,Belgium , Switzerland,2,167,Undirected,Belgium  ->  Switzerland
2000,Belgium , Russia,4,168,Undirected,Belgium  ->  Russia
2000,Belgium , Hungary,1,169,Undirected,Belgium  ->  Hungary
2000,Sweden , Russia,1,170,Undirected,Sweden  ->  Russia
2000,Sweden , Germany,4,171,Undirected,Sweden  ->  Germany
2000,Sweden , Japan,2,172,Undirected,Sweden  ->  Japan
2000,Sweden , Canada,2,173,Undirected,Sweden  ->  Canada
2000,Sweden , Spain,2,174,Undirected,Sweden  ->  Spain
2000,Sweden , Russia,1,175,Undirected,Sweden  ->  Russia
2000,Sweden , Norway,1,176,Undirected,Sweden  ->  Norway
2000,Russia , USA,14,177,Undirected,Russia  ->  USA
2000,Russia , Russia,110,178,Undirected,Russia  ->  Russia
2000,Russia , China,1,179,Undirected,Russia  ->  China
2000,Russia , Germany,7,180,Undirected,Russia  ->  Germany
2000,Russia , Japan,8,181,Undirected,Russia  ->  Japan
2000,Russia , France,5,182,Undirected,Russia  ->  France
2000,Russia , Mexico,1,183,Undirected,Russia  ->  Mexico
2000,Russia , Korea,1,184,Undirected,Russia  ->  Korea
2000,Russia , Spain,1,185,Undirected,Russia  ->  Spain
2000,Russia , Italy,2,186,Undirected,Russia  ->  Italy
2000,Russia , Switzerland,2,187,Undirected,Russia  ->  Switzerland
2000,Russia , Belgium,4,188,Undirected,Russia  ->  Belgium
2000,Russia , Sweden,1,189,Undirected,Russia  ->  Sweden
2000,Russia , Poland,1,190,Undirected,Russia  ->  Poland
2000,Russia , Finland,1,191,Undirected,Russia  ->  Finland
2000,Russia , Czech,1,192,Undirected,Russia  ->  Czech
2000,Russia , Hungary,1,193,Undirected,Russia  ->  Hungary
2000,Portugal , France,1,194,Undirected,Portugal  ->  France
2000,Denmark , Finland,1,195,Undirected,Denmark  ->  Finland
2000,Denmark , Ireland,1,196,Undirected,Denmark  ->  Ireland
2000,Poland , USA,2,197,Undirected,Poland  ->  USA
2000,Poland , Russia,1,198,Undirected,Poland  ->  Russia
2000,Poland , Germany,1,199,Undirected,Poland  ->  Germany
2000,Poland , France,3,200,Undirected,Poland  ->  France
2000,Poland , Switzerland,1,201,Undirected,Poland  ->  Switzerland
2000,Poland , Russia,1,202,Undirected,Poland  ->  Russia
2000,Austria , France,2,203,Undirected,Austria  ->  France
2000,Austria , Australia,1,204,Undirected,Austria  ->  Australia
2000,Austria , Italy,1,205,Undirected,Austria  ->  Italy
2000,Austria , Switzerland,2,206,Undirected,Austria  ->  Switzerland
2000,Austria , Hungary,1,207,Undirected,Austria  ->  Hungary
2000,Norway , USA,1,208,Undirected,Norway  ->  USA
2000,Norway , Sweden,1,209,Undirected,Norway  ->  Sweden
2000,Finland , Russia,1,210,Undirected,Finland  ->  Russia
2000,Finland , Germany,2,211,Undirected,Finland  ->  Germany
2000,Finland , Italy,1,212,Undirected,Finland  ->  Italy
2000,Finland , Russia,1,213,Undirected,Finland  ->  Russia
2000,Finland , Denmark,1,214,Undirected,Finland  ->  Denmark
2000,Argentina , Germany,1,215,Undirected,Argentina  ->  Germany
2000,Ireland , Denmark,1,216,Undirected,Ireland  ->  Denmark
2000,Czech , Russia,1,217,Undirected,Czech  ->  Russia
2000,Czech , Germany,1,218,Undirected,Czech  ->  Germany
2000,Czech , Japan,1,219,Undirected,Czech  ->  Japan
