Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Publisher,Volume,Issue,Pages,Issue date,Publication year,Language,ISSN,E-ISSN,DOI,Article number,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Database,Copyright,Data Provider
"Smartphone snapshot mapping of skin chromophores under triple-wavelength laser illumination","20171003426145","Spigulis, Janis (1); Oshina, Ilze (1); Berzina, Anna (1); Bykov, Alexander (2) ","(1) University of Latvia, Biophotonics Laboratory, Institute of Atomic Physics and Spectroscopy, Riga, Latvia (2) University of Oulu, Optoelectronics and Measurement Techniques Unit, Faculty of Information Technology and Electrical Engineering, Oulu, Finland ","Spigulis, Janis(janis.spigulis@lu.lv) ","Journal of Biomedical Optics","J Biomed Opt","SPIE","22","9","","September 1, 2017","2017","English","10833668","15602281","10.1117/1.JBO.22.9.091508","091508","JBOPFO","Journal article (JA)","Chromophore distribution maps are useful tools for skin malformation severity assessment and for monitoring of skin recovery after burns, surgeries, and other interactions. The chromophore maps can be obtained by processing several spectral images of skin, e.g., captured by hyperspectral or multispectral cameras during seconds or even minutes. To avoid motion artifacts and simplify the procedure, a single-snapshot technique for mapping melanin, oxyhemoglobin, and deoxyhemoglobin of in-vivo skin by a smartphone under simultaneous three-wavelength (448-532-659 nm) laser illumination is proposed and examined. Three monochromatic spectral images related to the illumination wavelengths were extracted from the smartphone camera RGB image data set with respect to crosstalk between the RGB detection bands. Spectral images were further processed accordingly to Beer's law in a three chromophore approximation. Photon absorption path lengths in skin at the exploited wavelengths were estimated by means of Monte Carlo simulations. The technique was validated clinically on three kinds of skin lesions: nevi, hemangiomas, and seborrheic keratosis. Design of the developed add-on laser illumination system, image-processing details, and the results of clinical measurements are presented and discussed. © 2017 Society of Photo-Optical Instrumentation Engineers (SPIE).","41","Image processing","Cameras - Chromophores - Intelligent systems - Mapping - Monte Carlo methods - Signal encoding - Smartphones - Spectroscopy","Clinical measurements - Laser illumination - Multi-spectral cameras - Multispectral imaging - Photon absorptions - Smart-phone applications - Smart-phone cameras - Triple wavelengths","405.3 SurveyingSurveying - 716.1 Information Theory and Signal ProcessingInformation Theory and Signal Processing - 718.1 Telephone Systems and EquipmentTelephone Systems and Equipment - 723.4 Artificial IntelligenceArtificial Intelligence - 742.2 Photographic EquipmentPhotographic Equipment - 804.1 Organic CompoundsOrganic Compounds - 922.2 Mathematical StatisticsMathematical Statistics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Using bio-dispersive solution of chitosan for green dispersive liquid–liquid microextraction of trace amounts of Cu(II) in edible oils prior to analysis by ICP–OES","20171203469462","Limchoowong, Nunticha (1); Sricharoen, Phitchan (1); Techawongstien, Suchila (2); Chanthai, Saksit (1) ","(1) Materials Chemistry Research Unit, Department of Chemistry and Center of Excellence for Innovation in Chemistry, Faculty of Science, Khon Kaen University, Khon Kaen; 40002, Thailand (2) Department of Plant Science and Agricultural Resources, Faculty of Agriculture, Khon Kaen University, Khon Kaen; 40002, Thailand ","Chanthai, Saksit ","Food Chemistry","Food Chem.","Elsevier Ltd","230","","398-404","September 1, 2017","2017","English","03088146","18737072","10.1016/j.foodchem.2017.03.070","","FOCHDJ","Journal article (JA)","A green approach using chitosan solution as a novel bio-dispersive agent for the dispersive liquid–liquid microextraction (DLLME) of trace amounts of Cu(II) in edible oils is presented. An emulsion was formed by mixing the oil sample with 300 µL of 0.25% (w/v) chitosan solution containing 200 µL of 6 mol L−1HCl. Deionized water was used to induce emulsion breaking without centrifugation. The centrifuged Cu(II) extract was collected and analyzed using an inductively coupled plasma–optical emission spectrometer. The detection and quantitation limits were 2.1 and 6.8 µg L−1, respectively. Trace amounts of Cu(II) in six edible oil samples were tested under optimum conditions for DLLME, with a recovery ranging from 90.3% to 109.3%. Therefore, the new dispersive agent in DLLME offers superior performance owing to the non-toxic nature of the solvent, short extraction time, high sensitivity, and easy operation. © 2017 Elsevier Ltd","35","Extraction","Chitin - Chitosan - Copper - Deionized water - Emulsification - Inductively coupled plasma - Liquids - Oils and fats","Chitosan solution - Dispersive agents - Extraction time - High sensitivity - Microextraction - Optical emission spectrometer - Optimum conditions - Quantitation limits","445.1 Water Treatment TechniquesWater Treatment Techniques - 544.1 CopperCopper - 802.3 Chemical OperationsChemical Operations - 804.1 Organic CompoundsOrganic Compounds - 932.3 Plasma PhysicsPlasma Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Eulerian derivation of non-inertial Navier–Stokes and boundary layer equations for incompressible flow in constant pure rotation","20171103448404","Combrinck, M.L. (1); Dala, L.N. (2); Lipatov, I.I. (3) ","(1) University of Pretoria, South Africa (2) Northumbria University, United Kingdom (3) Central Aerohydrodynamic Institute, Russia ","Combrinck, M.L.(madeleine.combrinck@gmail.com) ","European Journal of Mechanics, B/Fluids","Eur J Mech B Fluids","Elsevier Ltd","65","","10-30","September 1, 2017","2017","English","09977546","","10.1016/j.euromechflu.2016.12.012","","EJBFEV","Journal article (JA)","The paper presents an Eulerian derivation of the non-inertial Navier–Stokes equations as an alternative to the Lagrangian fluid parcel approach. To the best knowledge of the authors, this is the first instance where an Eulerian approach is used for such a derivation. This work expands on the work of Kageyama and Hyodo (2006) who derived the incompressible momentum equation in constant rotation for geophysical applications. In this paper the derivation is done for the full set of Navier–Stokes equations in incompressible flow for pure rotation. It is shown that the continuity equation as well as the conservation of energy equation are invariant under transformation from the inertial frame to the rotational frame. From these equations the non-inertial boundary layer equations for flow on a flat plate subjected to rotation is derived in both the Cartesian and cylindrical co-ordinate systems. © 2017 Elsevier Masson SAS","25","Navier Stokes equations","Boundary layers - Coriolis force - Incompressible flow - Rotation","Boundary layer equations - Centrifugal Forces - Co-ordinate system - Conservation of energy - Continuity equations - Galilean transformation - Geophysical applications - Rotational transform","921.2 CalculusCalculus - 931.1 MechanicsMechanics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Contributions of molecular size, charge distribution, and specific amino acids to the iron-binding capacity of sea cucumber (Stichopus japonicus) ovum hydrolysates","20171303493025","Sun, Na (1); Cui, Pengbo (1); Jin, Ziqi (1); Wu, Haitao (1); Wang, Yixing (1); Lin, Songyi (1) ","(1) School of Food Science and Technology, Dalian Polytechnic University, National Engineering Research Center of Seafood, Dalian; 116034, China ","Lin, Songyi(linsongyi730@163.com) ","Food Chemistry","Food Chem.","Elsevier Ltd","230","","627-636","September 1, 2017","2017","English","03088146","18737072","10.1016/j.foodchem.2017.03.077","","FOCHDJ","Journal article (JA)","This study investigated the contributions of molecular size, charge distribution and specific amino acids to the iron-binding capacity of sea cucumber (Stichopus japonicus) ovum hydrolysates (SCOHs), and further explored their iron-binding sites. It was demonstrated that enzyme type and degree of hydrolysis (DH) significantly influenced the iron-binding capacity of the SCOHs. The SCOHs produced by alcalase at a DH of 25.9% possessed the highest iron-binding capacity at 92.1%. As the hydrolysis time increased, the molecular size of the SCOHs decreased, the negative charges increased, and the hydrophilic amino acids were exposed to the surface, facilitating iron binding. Furthermore, the Fourier transform infrared spectra, combined with amino acid composition analysis, revealed that iron bound to the SCOHs primarily through interactions with carboxyl oxygen of Asp, guanidine nitrogen of Arg or nitrogen atoms in imidazole group of His. The formed SCOHs-iron complexes exhibited a fold and crystal structure with spherical particles. © 2017 Elsevier Ltd","40","Iron compounds","Amino acids - Binding sites - Bins - Characterization - Charge distribution - Crystal structure - Hydrolysis - Iron - Nitrogen","Amino acid compositions - Degree of hydrolysis - Fourier transform infrared spectra - Iron binding - Molecular size - Negative charge - Sea cucumber - Spherical particle","545.1 IronIron - 694.4 StorageStorage - 801.2 BiochemistryBiochemistry - 802.2 Chemical ReactionsChemical Reactions - 804 Chemical Products GenerallyChemical Products Generally - 804.1 Organic CompoundsOrganic Compounds - 933.1.1 Crystal LatticeCrystal Lattice - 933.3 Electronic Structure of SolidsElectronic Structure of Solids - 951 Materials ScienceMaterials Science","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Selection order framework algorithm for compressed sensing","20171203489634","Wang, Feng (1); Sun, Guiling (1); Li, Zhouzhou (1); He, Jingfei (1) ","(1) College of Electronic Information and Optical Engineering, Nankai University, Tianjin 300350, China ","Sun, Guiling(sungl@nankai.edu.cn) ","Signal Processing","Signal Process","Elsevier B.V.","138","","121-128","September 1, 2017","2017","English","01651684","","10.1016/j.sigpro.2017.03.020","","SPRODR","Journal article (JA)","Greedy algorithms, which employ iterative greed strategy, are applied widely due to fast speed and simple structure. However, the reconstruction accuracy of greedy algorithm has a lot of room for improvement. To alleviate this drawback, an improved framework, called selection order framework, is proposed in this paper. This framework is very useful for greedy algorithms which use the correlation between columns of measurement matrix and the residue to select atoms per iteration. Moreover, to improve the recovery accuracy, the proposed framework only needs the selection order of atoms in estimated support set, which is available in original algorithm. The proposed framework also provides an adjustable parameter to control the tradeoff between the reconstruction accuracy and the run time. The efficiency of the proposed framework is demonstrated by simulations using sparse signals and a sparse image. © 2017 Elsevier B.V.","26","Iterative methods","Compressed sensing - Network function virtualization - Signal reconstruction","Adjustable parameters - Greedy algorithms - Iterative algorithm - Measurement matrix - Original algorithms - Reconstruction accuracy - Simple structures - Sparse signal reconstruction","716.1 Information Theory and Signal ProcessingInformation Theory and Signal Processing - 921.6 Numerical MethodsNumerical Methods","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Study of trace metal imbalances in the blood, scalp hair and nails of oral cancer patients from Pakistan","20171303494514","Qayyum, Muhammad Abdul (1); Shah, Munir H. (1) ","(1) Department of Chemistry, Quaid-i-Azam University, Islamabad; 45320, Pakistan ","Shah, Munir H.(mhshahg@qau.edu.pk) ","Science of the Total Environment","Sci. Total Environ.","Elsevier B.V.","593-594","","191-201","September 1, 2017","2017","English","00489697","18791026","10.1016/j.scitotenv.2017.03.169","","STEVA8","Journal article (JA)","Oral cancer is an important cause of cancer morbidity and mortality globally and exposure to trace metals alongside tobacco, alcohol and HPV are the important etiological factors in its development. Selected essential and toxic trace metals (Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn) were measured in the blood, scalp hair and nails of oral cancer patients and counterpart controls by atomic absorption spectrometry. Mean concentrations of Cd, Ni and Pb were found to be significantly higher (p < 0.05) and those of Cu, Fe and Zn were considerably lower in the blood, scalp hair and nails of the patients than the controls. Most of the metal concentrations exhibited higher dispersion and asymmetry in the blood, scalp hair and nails of the patients compared with the controls. The correlation study revealed significantly diverse relationships among the metals in blood, scalp hair and nails of both donor groups. Variations in the metal levels were also noted for various stages (I, II, III & IV) as well as the types (adenocarcinoma and squamous cell carcinoma) of oral cancer. Multivariate cluster analysis of the metal levels in the patients were also significantly dissimilar than the controls. The study evidenced considerably divergent variations in the metal levels in oral cancer patients in comparison with the controls. © 2017 Elsevier B.V.","86","Trace elements","Absorption spectroscopy - Atomic absorption spectrometry - Blood - Cadmium - Cluster analysis - Copper - Diseases - Manganese - Metals - Multivariant analysis - Nails - Nickel - Statistical methods - Zinc","Correlation studies - Metal concentrations - Multivariate cluster analysis - Oral cancer - Oral cancer patients - Scalp hair - Squamous cell carcinoma - Trace metal","461.2 Biological Materials and Tissue EngineeringBiological Materials and Tissue Engineering - 543.2 Manganese and AlloysManganese and Alloys - 544.1 CopperCopper - 546.3 Zinc and AlloysZinc and Alloys - 548.1 NickelNickel - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 605 Small Tools and HardwareSmall Tools and Hardware - 723 Computer Software, Data Handling and ApplicationsComputer Software, Data Handling and Applications - 741.3 Optical Devices and SystemsOptical Devices and Systems - 922 Statistical MethodsStatistical Methods - 922.2 Mathematical StatisticsMathematical Statistics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Tunable high-power blue external cavity semiconductor laser","20171203468959","Ding, Ding (1); Lv, Xueqin (1); Chen, Xinyi (1); Wang, Fei (1); Zhang, Jiangyong (2); Che, Kaijun (2) ","(1) Pen-Tung Sah Institute of Micro-Nano Science and Technology, Xiamen University, Xiamen; 361005, China (2) Department of Electronic Engineering, Xiamen University, Xiamen; 361005, China ","Lv, Xueqin(xqlv@xmu.edu.cn) ","Optics and Laser Technology","Opt Laser Technol","Elsevier Ltd","94","","1-5","September 1, 2017","2017","English","00303992","","10.1016/j.optlastec.2017.03.015","","OLTCAS","Journal article (JA)","A commercially available high-power GaN-based blue laser diode has been operated in a simple Littrow-type external cavity (EC). Two kinds of EC configurations with the grating lines perpendicular (A configuration) and parallel (B configuration) to the p-n junction are evaluated. Good performance has been demonstrated for the EC laser with B configuration due to the better mode selection effect induced by the narrow feedback wavelength range from the grating. Under an injection current of 1100 mA, the spectral linewidth is narrowed significantly down to ∼0.1 nm from ∼1 nm (the free-running width), with a good wavelength-locking behavior and a higher than 35 dB-amplified spontaneous emission suppression ratio. Moreover, a tuning bandwidth of 3.6 nm from 443.9 nm to 447.5 nm is realized with output power of 1.24 W and EC coupling efficiency of 80% at the central wavelength. The grating-coupled blue EC laser with narrow spectral linewidth, flexible wavelength tunability, and high output power shows potential applications in atom cooling and trapping, high-resolution spectroscopy, second harmonic generation, and high-capacity holographic data storage. © 2017 Elsevier Ltd","17","Atom lasers","Bandwidth - Digital storage - Linewidth - Locks (fasteners) - Nonlinear optics - Semiconductor junctions - Semiconductor lasers - Spectroscopic analysis","Amplified spontaneous emissions - Atom cooling and trapping - External cavity - External cavity semiconductor lasers - High power blue lasers - High-resolution spectroscopy - Narrow-line width - Wide tuning","714.2 Semiconductor Devices and Integrated CircuitsSemiconductor Devices and Integrated Circuits - 716.1 Information Theory and Signal ProcessingInformation Theory and Signal Processing - 722.1 Data Storage, Equipment and TechniquesData Storage, Equipment and Techniques - 741.1.1 Nonlinear OpticsNonlinear Optics - 744.1 Lasers, GeneralLasers, General - 744.4.1 Semiconductor LasersSemiconductor Lasers - 801 ChemistryChemistry - 931.3 Atomic and Molecular PhysicsAtomic and Molecular Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"The onset of double-diffusive convection in a nanofluid saturated porous layer: Cross-diffusion effects","20171203468727","Umavathi, J.C. (1); Sheremet, M.A. (2, 3); Ojjela, Odelu (4); Reddy, G. Janardhan (5) ","(1) Department of Engineering, University of Sannio, Piazza Roma 21, Benevento; 82100, Italy (2) Department of Theoretical Mechanics, Tomsk State University, Tomsk; 634050, Russia (3) Department of Nuclear and Thermal Power Plants, Tomsk Polytechnic University, Tomsk; 634050, Russia (4) Department of Applied Mathematics, Defence Institute of Advanced Technology (Deemed University), Pune; 411025, India (5) Department of Mathematics, Central University of Karnataka, Kalaburagi; Karnataka; 585 367, India ","Sheremet, M.A.(michael-sher@yandex.ru) ","European Journal of Mechanics, B/Fluids","Eur J Mech B Fluids","Elsevier Ltd","65","","70-87","September 1, 2017","2017","English","09977546","","10.1016/j.euromechflu.2017.01.017","","EJBFEV","Journal article (JA)","The onset of double-diffusive convection in a horizontal porous layer saturated with a nanofluid with the Soret and Dufour effects is studied using both linear and nonlinear stability analyses in a three-dimensional way. The model used for the nanofluid incorporates the effects of Brownian motion and thermophoresis, and the modified Darcy model is used for the porous medium that includes the time derivative term to describe the momentum transport. The thermal energy equation includes the diffusion and cross-diffusion terms. The linear theory depends on the normal mode technique, and the nonlinear analysis depends on the minimal representation of double Fourier series. The effects of the Soret and Dufour parameters, solutal Rayleigh number, viscosity ratio, and conductivity ratio on the stationary and oscillatory convections are presented graphically. It is found that for the stationary mode, the Soret and Dufour parameters, viscosity ratio, and thermal conductivity ratio have a stabilizing effect, while the solutal Rayleigh number destabilizes the system. For the oscillatory mode, the Soret and Dufour parameters, viscosity ratio, and Vadász number have a stabilizing effect, while the solutal Rayleigh number and the thermal conductivity ratio destabilize the system. We also study the effects of time on transient Nusselt number, which is found to be oscillatory when the time is small. However, when the time becomes very large, all three transient Nusselt number values approach the steady-state values. © 2017 Elsevier Masson SAS","44","Nanofluidics","Brownian movement - Diffusion - Fourier series - Heat convection - Nonlinear analysis - Nusselt number - Porous materials - Thermal conductivity - Thermophoresis - Viscosity","Double-diffusive convection - Dufour effect - Nanofluid-saturated porous layers - Nanofluids - Nonlinear stability analysis - Porous medium - Soret effects - Thermal conductivity ratio","631.1 Fluid Flow, GeneralFluid Flow, General - 641.1 ThermodynamicsThermodynamics - 641.2 Heat TransferHeat Transfer - 761 NanotechnologyNanotechnology - 801.3 Colloid ChemistryColloid Chemistry - 921.3 Mathematical TransformationsMathematical Transformations - 951 Materials ScienceMaterials Science","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"1H NMR-based compositional identification of different powdered infant formulas","20171103448137","Zhao, Yanrong (1); Chen, Hao (1); Feng, Jianghua (1); Chen, Zhiwei (1); Cai, Shuhui (1) ","(1) Department of Electronic Science, Fujian Provincial Key Laboratory of Plasma and Magnetic Resonance, Xiamen University, Xiamen; 361005, China ","Feng, Jianghua(jianghua.feng@xmu.edu.cn) ","Food Chemistry","Food Chem.","Elsevier Ltd","230","","164-173","September 1, 2017","2017","English","03088146","18737072","10.1016/j.foodchem.2017.03.020","","FOCHDJ","Journal article (JA)","Infant formulas (IFs), most of which are bovine milk-based, are important for normal growth and development. However, information regarding the ingredients in IFs is often limited in detail, and chemical changes during production and storage appear common. Therefore, it is important to understand in detail the composition of IFs. In this study, a wide range of low-molecular-weight organic components in commercial IFs were determined using the1H nuclear magnetic resonance (NMR) technique. The components emerging after multivariate data analysis could be used to discriminate certain infant formulas from each other. Particular attention was given to the components with potentially beneficial bioactivities. Our study indicates that NMR spectroscopy in combination with multivariate data analysis constitutes an efficient tool for the comprehensive characterization of various IFs and the in-depth understanding of the nutritional value of IFs for infants. © 2017 Elsevier Ltd","39","Multivariant analysis","Chemical analysis - Data handling - Digital storage - Information analysis - Nuclear magnetic resonance - Nuclear magnetic resonance spectroscopy","Commercial brand - In-depth understanding - Infant formula - Low molecular weight - Multivariate data analysis - Nuclear magnetic resonance techniques - Organic components - Quantification analysis","722.1 Data Storage, Equipment and TechniquesData Storage, Equipment and Techniques - 723.2 Data Processing and Image ProcessingData Processing and Image Processing - 903.1 Information Sources and AnalysisInformation Sources and Analysis - 922 Statistical MethodsStatistical Methods","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Sonochemical rate enhanced by a new nanomagnetic embedded core/shell nanoparticles and catalytic performance in the multicomponent synthesis of pyridoimidazoisoquinolines","20171103443162","Maleki, Ali (1); Aghaei, Morteza (1) ","(1) Catalysts and Organic Synthesis Research Laboratory, Department of Chemistry, Iran University of Science and Technology, Tehran; 16846-13114, Iran ","Maleki, Ali(maleki@iust.ac.ir) ","Ultrasonics Sonochemistry","Ultrason. Sonochem.","Elsevier B.V.","38","","115-119","September 1, 2017","2017","English","13504177","18732828","10.1016/j.ultsonch.2017.03.014","","ULSOER","Journal article (JA)","A sonochemical approach for the one-pot three-component synthesis of pyridoimidazoisoquinolines via by using phthalaldehyde, trimethylsilylcyanide and aminopyridines the presence of a catalytic amount of a new nanomagnetic catalyst Fe3O4@SiO2-CO-C6H4-NH2is described. The characterization of the nanocatalyst and the product was done by various methods, such as FT-IR, SEM, EDX, TGA/DTA, NMR, MS and CHN analyses. This is the first design, preparation, characterization and application of the present core/shell nanomaterial and also the first ultrasound irradiated synthesis of the biologically and pharmaceutically important fused polycyclic compounds in ethanol as a green solvent. This novel protocol offers several advantages such as high yields, short reaction times, environmentally-friendly reaction media, easily isolation of the products, simple preparation and recoverability of the nanocatalyst by an external magnet and reusing several times without significant decrease in catalytic activity. © 2017 Elsevier B.V.","25","Catalyst activity","Catalysts - Nanomagnetics - Nanoparticles - Nanostructures - Nuclear magnetic resonance - Organic solvents - Sonochemistry - Synthesis (chemical)","Catalytic performance - Green chemistry - Magnetic nano-particles - Multicomponent synthesis - Polycyclic compounds - Pyridoimidazoisoquinolines - Trimethylsilylcyanide - Ultrasound irradiation","701.2 Magnetism: Basic Concepts and PhenomenaMagnetism: Basic Concepts and Phenomena - 761 NanotechnologyNanotechnology - 801.1 Chemistry, GeneralChemistry, General - 802.2 Chemical ReactionsChemical Reactions - 803 Chemical Agents and Basic Industrial ChemicalsChemical Agents and Basic Industrial Chemicals - 804 Chemical Products GenerallyChemical Products Generally - 933 Solid State PhysicsSolid State Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
