PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Silver, GL				Silver, GL			Corrigendum to "Work and disproportionation for aqueous plutonium" (vol 59, pg 217, 2003)	APPLIED RADIATION AND ISOTOPES			English	Correction									Los Alamos Natl Lab, Los Alamos, NM 87545 USA	Silver, GL (reprint author), Los Alamos Natl Lab, POB 1663,MSE 500, Los Alamos, NM 87545 USA.	gsilver@lanl.gov					Silver GL, 2003, APPL RADIAT ISOTOPES, V59, P217, DOI 10.1016/S0969-8043(03)00171-4	1	3	3	0	1	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0969-8043			APPL RADIAT ISOTOPES	Appl. Radiat. Isot.	MAY	2004	60	5					783	783		10.1016/j.apradiso.2003.12.002		1	Chemistry, Inorganic & Nuclear; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	Chemistry; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	806LL	WOS:000220435300024					
J	Grachev, AF; Maershin, AA; Skiba, OV; Tsykanov, VA; Bychkov, AV; Kormilitsyn, MV; Sokolovskii, YS				Grachev, AF; Maershin, AA; Skiba, OV; Tsykanov, VA; Bychkov, AV; Kormilitsyn, MV; Sokolovskii, YS			Prospective power-reactor fuel cycles based on water-free reprocessing of spent fuel	ATOMIC ENERGY			English	Article								A pyroelectrochemical process for reprocessing spent fuel and fabricating granular oxides UO2, PuO2 or (U, Pu)O-2 from chloride melts has been developed at the Scientific-Research Institute of Nuclear Reactors for a prospective nuclear fuel cycle. The basic equipment has been developed. The basic results of a comprehensive study of fuel elements with vibrationally compacted (U, Pu)O-2 fuel for fast reactors are presented. The performance of the reactors remains high up to 30% burnup in standard BOR-60 reactor fuel assemblies and 32% burnup in experimental fuel elements. An assessment is made of the effectiveness of the pyroelectrochemical methods and vibrational compaction technology for plutonium utilization.	Fed State Unitary Enterprise Russian Federat, Sci Res Inst Nucl Reactors, Moscow, Russia	Grachev, AF (reprint author), Fed State Unitary Enterprise Russian Federat, Sci Res Inst Nucl Reactors, Moscow, Russia.							0	0	0	0	2	CONSULTANTS BUREAU	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2004	96	5					320	326		10.1023/B:ATEN.0000038097.00145.41		7	Nuclear Science & Technology	Nuclear Science & Technology	863UZ	WOS:000224590200004					
J	Poplavskii, VM; Bagdasarov, YE; Kamaev, AA; Tsikunov, AG; Zybin, VA; Ivanenko, VN				Poplavskii, VM; Bagdasarov, YE; Kamaev, AA; Tsikunov, AG; Zybin, VA; Ivanenko, VN			Danger of burning of sodium coolant	ATOMIC ENERGY			English	Article								The properties of sodium as a substance that can burn are described. The radiation characteristics of sodium as a first-loop coolant in a fast nuclear reactor are presented. An assessment is made of the consequences of sodium burning in various situations. First and foremost, an unanticipated accident with burning of sodium in the first loop adopted in the BN-800 design, is examined. Next, situations with hypothetical scenarios are examined to obtain the limiting data charcterizing the potential fire hazard of radioactive sodium coolant. Specifically, a hypothetical situation where all of the sodium contained in the first loop of the reactor burns is examined. The computational results are analyzed from the standpoint of the role sodium plays in the overall problem of nuclear power plant safety.	State Sci Ctr Russian Federat, AI Leipunskii Phys & Power Engn Inst, Moscow, Russia	Poplavskii, VM (reprint author), State Sci Ctr Russian Federat, AI Leipunskii Phys & Power Engn Inst, Moscow, Russia.		Ivanenko, Viatcheslav/B-8198-2008	Ivanenko, Viatcheslav/0000-0003-1255-0491			CHECHETKIN YV, 1983, RAD SAFETY NUCL POWE; IVANANKO VN, 1994, P INT TOP M SOD COOL, V3; IVANENKO VN, 1990, P INT FAST REACT SAF, V1, P223; IVANENKO VN, 1994, P INT TOP M SOD COOL; POPLAVSKII VM, 1978, SAFETY SODIUM WATER; POPLAVSKII VM, 1999, IZV VYSSH UCHEBN ZAV, V3, P17; *RUSS MIN HLTH, 1999, SP26175896 RUSS MIN	7	8	9	0	1	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2004	96	5					327	331		10.1023/B:ATEN.0000038098.44375.1a		5	Nuclear Science & Technology	Nuclear Science & Technology	863UZ	WOS:000224590200005					
J	Kazachkovskii, OD; Eliseev, VA; Matveev, VI; Tsibulya, AM				Kazachkovskii, OD; Eliseev, VA; Matveev, VI; Tsibulya, AM			Prospects for using mixed oxide fuel in fast sodium-cooled reactors	ATOMIC ENERGY			English	Article								When designing new fast reactors, it is desirable to increase as much as possible the breeding occurring in the core in order to ensure the minimum excess reactivity for burnup on the one hand and a closed fuel cycle without replenishment with external plutonium and without separating plutonium from uranium during chemical reprocessing of irradiated fuel on the other The latter requirement greatly decreases the risk of plutonium proliferation in such a fuel cycle. This requires a core breeding ratio 1.05-1.08. Such values can be achieved by using technologically perfected and tested oxide fuel with its volume fraction in the core increased to 55-60%. The results of computational-theoretical studies on the selection and optimization of cores with high fuel fractions for BN-1600 and BN-800 reactors are presented in this article. It is shown that such cores can be built in principle.	State Sci Ctr Russian Federat, AI Leipunskii Phys & Power Engn Inst, Moscow, Russia	Kazachkovskii, OD (reprint author), State Sci Ctr Russian Federat, AI Leipunskii Phys & Power Engn Inst, Moscow, Russia.						BAGDASAROV YE, 2001, ATOM ENERG, V90, P54; KAZACHKOVSKII OD, 2003, SCI TECHN FOR FAST N, P66	2	0	0	1	4	CONSULTANTS BUREAU	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2004	96	5					332	337		10.1023/B:ATEN.0000038099.30364.6a		6	Nuclear Science & Technology	Nuclear Science & Technology	863UZ	WOS:000224590200006					
J	Zagorul'ko, YI; Zhmurin, VG; Volov, AN; Kovalev, YP; Matveev, KA				Zagorul'ko, YI; Zhmurin, VG; Volov, AN; Kovalev, YP; Matveev, KA			Energy transformations during the thermal interaction of sodium with core materials melt	ATOMIC ENERGY			English	Article								The results of experimental studies of the thermal interaction of core materials melt using simulators (UO2 + Mo, ZrO2 + Fe melts at 3000-3100 K) and sodium at 823 K are presented. The kinematic characteristics of the displacement of sodium during the interaction are estimated on the basis of two methods used simultaneously. The first method is based on measuring the residual flexure strain of precalibrated plate-shaped components, which are located above the sodium level, in a plane perpendicular to the axis of the interaction chamber In the second method, the sodium consumption is measured in a pipe which bypasses the interaction chamber The data obtained are used to calculate the work of irreversible adiabatic compression of gas (argon) in the cavity of the bypass pipe conduit. The conversion ratios for the conversion of the thermal energy of the melt into the work of expansion of the system are 5(.)10(-3)-10(-2)%. The two methods are shown to agree satisfactorily with one another A model of the thermal interaction of the melt with sodium is proposed on the basis of the experimental results and correlation of existing data.	State Sci Ctr Russian Federat, AI Leipunskii Phys & Power Engn Inst, Moscow, Russia	Zagorul'ko, YI (reprint author), State Sci Ctr Russian Federat, AI Leipunskii Phys & Power Engn Inst, Moscow, Russia.						BOARD SJ, 1975, NATURE, V254, P319, DOI 10.1038/254319a0; CRONENBERG A, 1976, NUCL SAFETY, V16, P683; FAUSKE HK, 1973, NUCL SCI ENG, V51, P95; Kouzov PA, 1987, PRINCIPLES ANAL DISP	4	0	0	0	1	CONSULTANTS BUREAU	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2004	96	5					338	344		10.1023/B:ATEN.0000038100.61751.f1		7	Nuclear Science & Technology	Nuclear Science & Technology	863UZ	WOS:000224590200007					
J	Baranaev, YD; Kirillov, PL; Poplavskii, VM; Sharapov, VN				Baranaev, YD; Kirillov, PL; Poplavskii, VM; Sharapov, VN			Supercritical-pressure water nuclear reactors	ATOMIC ENERGY			English	Article								The concepts concerning a nuclear reactor cooled by water at supercritical pressure (25 MPa) are presented The system has one loop. Superheating the coolant to 530 degreesC makes it possible to obtain similar to44% efficiency. On the basis of the neutron spectrum, the reactor is a fast resonance reactor The tight array of fuel elements and the lower water density make it possible to obtain plutonium fuel breeding ratios similar to0.94. The problems which must be solved to build such a reactor are discussed.	State Sci Ctr Russian Federat, AI Leipunskii Phys & Power Engn Inst, Moscow, Russia	Baranaev, YD (reprint author), State Sci Ctr Russian Federat, AI Leipunskii Phys & Power Engn Inst, Moscow, Russia.						ALESHCHENKOV PI, 1974, EXPERIENCE OPERATING, V2, P99; DENISOV VV, 2001, ENSURING SAFETY NUCL, V2, P278; DOLGOV VV, 2002, ATOM ENERG, V92, P277; DOLLEZHAL NA, 1964, 3 GEN C; GRABEZHNAYA VA, 2003, FEI0297; Kirillov P. L., 2001, AT TEKH RUBEZH, P3; Kirillov P.L., 2001, TEPLOENERGETIKA, P6; Oka Y., 2000, P 1 INT S SUP WAT CO, P1; OKA Y, P 1 INT S SUP WAT CO, P37	9	8	10	0	4	CONSULTANTS BUREAU	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1063-4258			ATOM ENERGY+	Atom. Energy	MAY	2004	96	5					345	351		10.1023/B:ATEN.0000038101.90666.da		7	Nuclear Science & Technology	Nuclear Science & Technology	863UZ	WOS:000224590200008					
J	Poss, G; Kanzleiter, T				Poss, G; Kanzleiter, T			ThAI test facility	ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER			German	Article								A new, versatile test facility, with a 60 m(3) test vessel and innovative instrumentation including a radioactive controlled area, has been built for experimental LWR containment safety studies in the areas of thermohydraulics and fission product behavior in the containment. One test program involving problems of thermohydraulics and of iodine has already been completed successfully. A Another test program has been started in 2003.	Becker Technol GmbH, D-65760 Eschborn, Germany	Poss, G (reprint author), Becker Technol GmbH, Kolner Str 6, D-65760 Eschborn, Germany.							0	0	0	0	0	VERLAGSGRP HANDELSBLATT GMBH	DUSSELDORF	POSTFACH 10 11 02, D-40002 DUSSELDORF, GERMANY	1431-5254			ATW-INT J NUCL POWER	ATW-Int. J. Nucl. Power	MAY	2004	49	5					323	+				3	Nuclear Science & Technology	Nuclear Science & Technology	832QH	WOS:000222281500006					
J	Romanelli, F; Coletti, A; Gormezano, C; Lucci, F; Pizzuto, A; Righetti, GB				Romanelli, F; Coletti, A; Gormezano, C; Lucci, F; Pizzuto, A; Righetti, GB		The FTU Grp; The ECRH Grp	FT3 - An experiment to study burning plasma physics issues in deuterium plasmas	FUSION SCIENCE AND TECHNOLOGY			English	Article						compact high-field tokamak; ITER support; magnetic fusion	TRANSPORT; TOKAMAK; MODES	A conceptual study is presented for a substantial upgrade of the Frascati Tokamak Upgrade (FTU) up to B = 8 T, I = 6 MA, and R approximate to 1.3 m to study burning plasma (BP) issues in deuterium plasmas operating up to an equivalent DT gain close to Q = 2 in the ELMy H-mode and to Q = 5 with an internal transport barrier (ITB). The effect of alpha particles is simulated by similar to1 MeV fast He-3 minority heating produced by ion cyclotron resonance heating (20 MW). Thanks to the high-density values (approximate to4 x 10(20) m(-3)), the FT3 plasmas are characterized by short electron-ion equipartition time (60 ms in the ELMy H-mode scenario) and slowing-down time (44 ms), with respect to the energy confinement time of similar to340 ms, a feature characteristic of BP experiments but not always satisfied with present tokamak devices. Advanced scenarios at 5 T with fully non-inductive current drive can be investigated with a steady-state current density profile achieved in <5 s. The aim of FT3 is to prepare ITER operation and to provide a test bed for the development of the ITER auxiliary system and diagnostics. Elements of the scientific program are as follows: the investigation of energetic particle collective effects, optimization of H-mode scenarios, development of improved H-mode scenarios and scenarios with ITBs, magnetohydrodynamic and transport studies in ITER-relevant conditions, and study of edge plasma dynamics. FT3 can use all the existing facilities available in Frascati and could be constructed in similar to5 yr.	EURATOM, ENEA Fus, CR Frascati, Rome, Italy	Romanelli, F (reprint author), EURATOM, ENEA Fus, CR Frascati, Rome, Italy.		Zonca, Fulvio/I-8236-2016	Zonca, Fulvio/0000-0002-9270-4704; Romanelli, Francesco/0000-0001-9778-1090			AQUILINI A, 2004, FUSION SCI TECHNOL, V45, P459; BRAMBILLA M, COMMUNICATION; Buttery RJ, 2000, PLASMA PHYS CONTR F, V42, pB61, DOI 10.1088/0741-3335/42/12B/306; COPPI B, 2000, 9906 PTP; FRIGIONE D, 2000, 18 IAEA FUS EN C SOR; GERAUD A, 1998, P 20 S FUS TECHN SOF, V2, P941; MAZZONE G, 1997, P S FUS ENG 97 SOFE; Najmabadi F, 1998, FUSION ENG DES, V41, P365, DOI 10.1016/S0920-3796(97)00153-1; Rollet S, 2000, FUSION ENG DES, V51-52, P599, DOI 10.1016/S0920-3796(00)00244-1; Snipes J. A., 2002, P 19 IAEA FUS EN C L; Suttrop W, 2000, PLASMA PHYS CONTR F, V42, pA1, DOI 10.1088/0741-3335/42/5A/301; Vlad G, 1998, NUCL FUSION, V38, P557, DOI 10.1088/0029-5515/38/4/307; Wakatani M, 1999, NUCL FUSION, V39, P2175, DOI 10.1088/0029-5515/39/12/302; 1982, 8249 ENEA	14	10	10	2	9	AMER NUCLEAR SOCIETY	LA GRANGE PK	555 N KENSINGTON AVENUE, LA GRANGE PK, IL 60526 USA	1536-1055			FUSION SCI TECHNOL	Fusion Sci. Technol.	MAY	2004	45	3					483	511				29	Nuclear Science & Technology	Nuclear Science & Technology	821ND	WOS:000221466900014					
J	Milacic, S				Milacic, S			Changes in leukocytes caused by tritium contamination	HEALTH PHYSICS			English	Article						tritium; biological indicators; exposure; population; chromosome aberration	LYMPHOCYTES; BLOOD	Tritium is a radionuclide uniformly absorbed by the body. The purpose of cytomorphological and cytochemical leukocytes examination in tritium-affected workers was early detection of initial health disorder caused by tritium contamination. Cytoplasm and nuclear morphological changes were analyzed by colored blood smear microscopy. The enzyme activity (APL, MPO) in granulocytes was examined by cytochemical methods. Morphological changes were found in 47.17% of the subjects (N = 53) and in 2% (N = 52) of the controls. Chromosomal aberrations in lymphocytes were found in 49.05% of the exposed workers and in 2% of the controls. The granulocytes enzyme activities were significantly diminished in the exposed workers (p less than or equal to 0.001). The average level of beta radiation found in the urine of those affected by tritium was 3.46 kBq L-1, while it was significantly lower in the others: 0.35 kBq L-1. The enzyme activity decreases after 5 y of tritium exposure. Nuclear and cytoplasm changes as well as lowered enzyme activity in granulocytes were found in tritium-contaminated workers. Interdependence of cytomorphological and cytochemical changes was established. There was no correlation between cytochemical changes and granulocytes count.	Univ Belgrade, Fac Med, Inst Occupat Med & Radiol Protect, YU-11000 Belgrade, Yugoslavia	Milacic, S (reprint author), Univ Belgrade, Fac Med, Inst Occupat Med & Radiol Protect, Deligradska 29, YU-11000 Belgrade, Yugoslavia.	jsimic@afrodita.rcub.bg.ac.yu					CAWLEY CN, 1984, HEALTH PHYS, V47, P102; COHEN JJ, 1989, RAD PROTECTION SELEC, P122; COTTIER H, 1964, BLOOD, V24, P241; CRONKITE EP, 1979, CLIN HAEMATOL, V8, P351; DIENSTBIER T, 1967, PANEL P SERIES EFFEC; FLAMMER R, 1977, EXC MED OCCUPATIONAL, V4, P1114; HENDEE WR, 1996, HLTH EFFECTS EXPOSUR; HISAMATSU S, 1989, HEALTH PHYS, V57, P565, DOI 10.1097/00004032-198910000-00007; *ICRP, 1988, PUBLICATION, V54; *ICRP, 1996, ANN ICRP, V19, P141; Joksic G, 1999, NEOPLASMA, V46, P40; Joksic G, 1998, INT ARCH OCC ENV HEA, V71, P213, DOI 10.1007/s004200050272; KINSLOW R, 1984, HEALTH PHYS, V46, P1154; LEENHOUTS P, 1990, J RADIOL PROT, V10, P95; LITTLEFLED LG, 1994, PROGR CLIN BIOL RES, V372, P387; MARTIN JM, 1981, LEUKOCYTE FUNCTION; MILACIC S, 1992, THESIS U BELGRADE; MILACIC S, 1990, THESIS U BELGRADE; SARTO F, 1979, MED LAV, P21; SCOTT CS, 1982, J CLIN PATHOL, V35, P967, DOI 10.1136/jcp.35.9.967; STEPHEN AC, 1988, SEMINARS HAEMATOLOGY, V25, P173; WEVER R, 1980, ENV J BIOCH, V108, P49	22	2	2	0	0	LIPPINCOTT WILLIAMS & WILKINS	PHILADELPHIA	530 WALNUT ST, PHILADELPHIA, PA 19106-3621 USA	0017-9078	1538-5159		HEALTH PHYS	Health Phys.	MAY	2004	86	5					457	459		10.1097/00004032-200405000-00002		3	Environmental Sciences; Public, Environmental & Occupational Health; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	Environmental Sciences & Ecology; Public, Environmental & Occupational Health; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	813DZ	WOS:000220889100002	15083141				
J	Vicente, R; Sordi, GM; Hiromoto, G				Vicente, R; Sordi, GM; Hiromoto, G			Management of spent sealed radiation sources	HEALTH PHYSICS			English	Article						waste management; waste disposal; radiation protection; waste storage	RADIOACTIVE MATERIALS; RECYCLED METALS	Spent or disused sealed radiation sources-no longer needed sources-may represent a risk of radiological accident or may be a target for criminal acts in countries where final disposal options are unavailable and where an increasing number of sources are being kept in extended storage. In developing countries, thousands of radium needles, teletherapy sources, oil well logging neutron sources, and miscellaneous industrial radioactive gauges are annually collected as waste and stored in research institutes. The objectives of the study described in this paper are to inventory such sources in Brazil, including those presently in use and those already collected as waste, and to design a dedicated repository where spent sources could be disposed of properly. The inventory of sources in Brazil and the concept of the repository are presented and its feasibility is discussed.	IPEN, BR-05508000 Sao Paulo, Brazil	Vicente, R (reprint author), IPEN, Av Prof Lineu Prestes 2242,Cidade Univ, BR-05508000 Sao Paulo, Brazil.	rvicente@ipen.br					BELLIAN JC, 1995, CONF9509197; *COM NAC SEG NUCL, 1984, CNSNSIT001; FERGUSON CD, 2003, SECURITY RISKS RADIO; HEILBRON PFL, 1992, P 4 BRAZ NUCL EN C R, P493; International Atomic Energy Agency, 2000, RAD ACC LIL; *INT AT EN AG, 1994, 111G41 IAEA; *INT AT EN AG, 2000, RAD WAST MAN PROF CO; International Atomic Energy Agency, 1998, RAD ACC TAMM; *INT AT EN AG, 2002, AD ACC SAM PRAK; International Atomic Anergy Agency, 1991, IAEATECDOC620; *INT AT EN AG, 1983, SAF SER, V60; *INT AT EN AG, 1983, SAF SER, V59; International Atomic Energy Agency, 2000, RAD ACC IST; *INT AT EN AG, 1981, SAF SER, V54; *INT AT EN AG, 1983, SAF SER, V58; *INT AT EN AG, 1999, NSG11 IAEA; *INT AT EN AG, 1989, SAF SER, V99; *INT AT EN AG, 1999, WSR1 IAEA; International Commission on Radiation Protection, 2000, ICRP PUBL; *INT COMM RAD PROT, 1993, ICRP PUBL, V64; LUBENAU JO, 1995, HEALTH PHYS, V68, P440, DOI 10.1097/00004032-199504000-00001; Lubenau JO, 1998, HEALTH PHYS, V74, P293, DOI 10.1097/00004032-199803000-00001; Lubenau JO, 2002, HEALTH PHYS, V83, P155, DOI 10.1097/00004032-200208000-00001; LUBENAU JO, 2003, SECURITY RISKS RADIO; VICENTE R, 2002, THESIS U SAO PAULO	25	3	3	0	0	LIPPINCOTT WILLIAMS & WILKINS	PHILADELPHIA	530 WALNUT ST, PHILADELPHIA, PA 19106-3621 USA	0017-9078	1538-5159		HEALTH PHYS	Health Phys.	MAY	2004	86	5					497	504		10.1097/00004032-200405000-00006		8	Environmental Sciences; Public, Environmental & Occupational Health; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	Environmental Sciences & Ecology; Public, Environmental & Occupational Health; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	813DZ	WOS:000220889100006	15083145				
J	El-Bahi, SM				El-Bahi, SM			Assessment of radioactivity and radon exhalation rate in Egyptian cement	HEALTH PHYSICS			English	Article						naturally occurring radionuclides; exhalation rate; detector; radiation; radon	PLASTIC TRACK DETECTOR; CALIBRATION	The cement industry is considered as one of the basic industries that plays an important role in the national economy of developing countries. Activity concentration of U-238, Th-232, and (40) K in local cement types from different Egyptian factories has been measured using a shielded HPGe detector. The average values obtained for U-238, Th-232, and K-40 activity concentrations in different types of cement are lower than the corresponding global values reported in UNSCEAR publications. On the basis of the hazard index and the radium equivalent concentration, it can be shown that the natural radioactivity of cement samples is not greater than the values permitted in the established standards in other countries. A solid-state nuclear track detector SSNTD (Cr-39) was used to measure the radon concentration as well as exhalation rate for these samples. The effective radium content and the exhalation rate are found to vary from 12.75 to 38.52 Bq kg(-1) and 61.19 to 181.39 Bq m(-2) d(-1), respectively.	Ain Shams Univ, Fac Girls, Nucl Phys Lab, Cairo, Egypt	El-Bahi, SM (reprint author), Ain Shams Univ, Fac Girls, Nucl Phys Lab, Cairo, Egypt.	samia_elbahi@yahoo.com					Ahmad N, 1998, HEALTH PHYS, V75, P60; AVRAMOVIC I, 1995, RADIAT MEAS, V25, P607, DOI 10.1016/1350-4487(95)00195-K; Gallyas M., 1984, Radiation Protection Dosimetry, V7, P69; *I BUILD TECHN CEN, 1995, BUILD MAT, V234; IAEA, 1989, TECHN REP SER, V295; INGERSOLL JG, 1983, HEALTH PHYS, V45, P363, DOI 10.1097/00004032-198308000-00008; KHAN AJ, 1990, NUCL TRACKS RAD MEAS, V17, P497; KUMAR S, 1986, NUCL TRACKS RAD MEAS, V12, P129; MANSY M, 1998, EGYPTIAN J BIOPHYS, V4, P91; Papastefanou C., 1983, HEALTH PHYS, V45, P349; Sam AK, 2001, RADIAT PROT DOSIM, V93, P275; United Nations Scientific Committee on the Effects of Atomic Radiations, 1988, SOURC EFF RISK ION R; *UN SCI COMM EFF A, 1993, EXP NAT SOURC RAD; *UN SCI COMM EFF A, 1982, ION RAD SOURC BIOL; Yu K. N., 1992, J ENVIRON RADIOACTIV, V17, P931; Zhang S, 1988, CHINESE J RADIOLOGY, V3, P88; ZIKOVSKY L, 1992, HEALTH PHYS, V63, P449, DOI 10.1097/00004032-199210000-00009	17	26	29	0	2	LIPPINCOTT WILLIAMS & WILKINS	PHILADELPHIA	530 WALNUT ST, PHILADELPHIA, PA 19106-3621 USA	0017-9078	1538-5159		HEALTH PHYS	Health Phys.	MAY	2004	86	5					517	522		10.1097/00004032-200405000-00008		6	Environmental Sciences; Public, Environmental & Occupational Health; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	Environmental Sciences & Ecology; Public, Environmental & Occupational Health; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging	813DZ	WOS:000220889100008	15083147				
